0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9998059,0.9997702,0.99957293,0.9994566,0.9992263,0.9991152,0.9990393,0.99894553,0.9988916,0.99876463,0.99872744,0.9986347,0.99861395,0.9985231,0.99850583,0.99844277,0.99834466,0.99826986,0.99823576,0.99820095,0.9981642,0.9980956,0.99794406,0.9979046,0.99784315,0.9978246,0.99776787,0.99765855,0.9976127,0.9975968,0.9974429,0.99740446,0.9973308,0.9972856,0.9971681,0.99707913,0.9970081,0.99689096,0.9968424,0.99676746,0.9966471,0.9966244,0.9965359,0.9964471,0.99625915,0.9962403,0.9961472,0.9960433,0.9959889,0.9959033,0.99567044,0.99566215,0.9955529,0.99533945,0.9951949,0.9950564,0.99501276,0.9948389,0.99452657,0.9944922,0.9943743,0.9941791,0.99396,0.99375856,0.99363333,0.9934611,0.99319786,0.9931287,0.9928632,0.99277794,0.9926089,0.99245036,0.99219084,0.991911,0.99158776,0.99141514,0.9911489,0.9909946,0.99085367,0.9905954,0.9903942,0.9901025,0.9896162,0.98896927,0.988903,0.98864955,0.9885013,0.9882865,0.9879978,0.9877889,0.9874249,0.9872998,0.9866137,0.9860943,0.98563445,0.98507273,0.98457974,0.9837611,0.98356086,0.98264414,0.9823756,0.98166406,0.9810697,0.98067665,0.97995657,0.97913796,0.97864556,0.97821605,0.97715634,0.9764976,0.97526926,0.97462,0.97361994,0.97247493,0.97215235,0.97061145,0.969691,0.96878946,0.96733296,0.966077,0.96588534,0.9628355,0.96038496,0.9574941,0.9565965,0.9526243,0.95120806,0.94897497,0.94661,0.9441638,0.9426273,0.9381839,0.93774927,0.9345085,0.9285586,0.9265184,0.9231966,0.92071384,0.9125038,0.9101717,0.90365344,0.9010098,0.8977268,0.8940354,0.8887615,0.88672674,0.8726935,0.862641,0.8556383,0.8499521,0.84639317,0.83964574,0.8257219,0.80891114,0.8063565,0.79619086,0.7930493,0.7831781,0.76428384,0.7423229,0.7375699,0.72383934,0.71169007,0.7001865,0.6961267,0.6864778,0.67303264,0.64885056,0.64293075,0.6262078,0.5873698,0.5560717,0.5383985,0.5167061,0.5057371,0.48121017,0.45464414,0.43777284,0.4253021,0.4089735,0.3854194,0.38174924,0.3558422,0.33230516,0.30945134,0.29960746,0.28854862,0.2527488,0.2251015,0.20391594,0.18855941,0.1824808,0.1569254,0.13310279,0.11751069,0.089457795,0.067474365,0.054258857,0.021630436,0.002609489
0.9972086,0.995903,0.9955968,0.9951519,0.9948442,0.99448246,0.9942875,0.99397504,0.993578,0.993237,0.9927048,0.9925684,0.99243873,0.99220425,0.9916669,0.99139684,0.9912891,0.99086595,0.99058294,0.99032617,0.9900463,0.98978066,0.9895954,0.9891808,0.98884004,0.98866934,0.9885847,0.98811096,0.98777074,0.98737556,0.9872032,0.9865673,0.98626643,0.9859198,0.9858888,0.98520005,0.98420286,0.9840115,0.983593,0.9833854,0.98284507,0.9820691,0.9818996,0.98143744,0.980942,0.97954726,0.9792735,0.9790531,0.97865856,0.9779002,0.9766354,0.9764495,0.9757403,0.9750827,0.9748631,0.97404397,0.97298044,0.9726008,0.97184974,0.9708408,0.970145,0.9689531,0.9680715,0.96738756,0.9665598,0.96530944,0.96379757,0.962924,0.9615157,0.96037483,0.9595936,0.9577584,0.95686483,0.9559281,0.95383584,0.9537094,0.9528998,0.952014,0.95031893,0.9490084,0.9466912,0.9446273,0.9432407,0.94213367,0.9388716,0.9378602,0.93492573,0.9341524,0.93028396,0.9294844,0.92772347,0.92227423,0.9215181,0.91917115,0.9174829,0.9148176,0.91171765,0.91080606,0.90722704,0.9011504,0.8979757,0.8935947,0.8903446,0.8880159,0.885095,0.8806184,0.8734272,0.8716074,0.8677294,0.8651874,0.8619432,0.8580905,0.848694,0.84773237,0.83883536,0.8354404,0.8278072,0.82354146,0.8180071,0.8067134,0.8040765,0.79997504,0.79183173,0.7701131,0.7675488,0.7506819,0.74000055,0.7382858,0.7296946,0.7263786,0.7139871,0.71333516,0.69797415,0.68786323,0.67916477,0.67505735,0.66381377,0.64917254,0.6391166,0.62723356,0.61574215,0.599065,0.59422845,0.59009594,0.57136035,0.5626174,0.54692686,0.53218657,0.529573,0.5265637,0.51674324,0.4988335,0.48899463,0.47523054,0.46441948,0.45455778,0.4384321,0.43684918,0.4120299,0.39947078,0.39419165,0.3884696,0.37505662,0.36892483,0.36114478,0.35453445,0.34239954,0.33564648,0.3152565,0.30863777,0.30073267,0.28162485,0.27933663,0.26149747,0.2555214,0.24133883,0.22031215,0.21544015,0.19707513,0.19330935,0.184766,0.17407647,0.15916651,0.15554439,0.14734332,0.13218707,0.124919556,0.12109579,0.102556035,0.08934067,0.08627417,0.07715704,0.072417505,0.061943814,0.054062728,0.044967532,0.027748013,0.015963735,0.010690227,0.0062683877
0.9925611,0.98798174,0.98718256,0.9865257,0.98548144,0.98493314,0.9836261,0.9833632,0.98243046,0.9820983,0.9812922,0.98053205,0.97982997,0.97909147,0.97855675,0.9777542,0.9772109,0.9766463,0.97590154,0.97415775,0.9736451,0.97343117,0.9723015,0.97190946,0.97119576,0.96994174,0.96983844,0.9684506,0.9674575,0.96711445,0.9656574,0.9647711,0.96405363,0.9627939,0.96174,0.96062666,0.96021545,0.95944095,0.95758677,0.9570458,0.955181,0.9537409,0.95264775,0.95010054,0.9494331,0.9489347,0.94704,0.94620955,0.9449589,0.9431551,0.9429344,0.9407564,0.9386881,0.937773,0.9353874,0.9345915,0.9337375,0.9329908,0.93127996,0.9283622,0.9259782,0.92448,0.92287207,0.91974974,0.918793,0.91632086,0.91246367,0.9109844,0.90692014,0.9056287,0.9045845,0.90134186,0.8995236,0.8963824,0.89584714,0.8908521,0.8845066,0.88292396,0.8810001,0.87605524,0.8722618,0.86785424,0.86381537,0.8593292,0.85704786,0.8536393,0.84822,0.8419054,0.83840215,0.83101517,0.8287603,0.82705206,0.8227333,0.81197965,0.803399,0.80156845,0.7954062,0.7936831,0.78174365,0.7808007,0.77625966,0.76958364,0.7598127,0.7510131,0.74427193,0.73922735,0.735339,0.71750265,0.71412283,0.70218986,0.6916191,0.6834616,0.679327,0.6696453,0.6620692,0.6471108,0.6420768,0.63400674,0.6288587,0.6276579,0.6135764,0.5942089,0.5895903,0.58209866,0.5792506,0.5725193,0.5648636,0.56329834,0.5502821,0.5442605,0.5383064,0.52741486,0.5147988,0.50275254,0.5006936,0.4967255,0.49239156,0.4845459,0.46695513,0.46129423,0.44989696,0.44051212,0.43333256,0.42821386,0.4205809,0.41263857,0.40149248,0.37942636,0.37728232,0.37117684,0.3691802,0.3559268,0.34157866,0.33506176,0.32101476,0.3118823,0.30735672,0.29811352,0.2926568,0.29222903,0.28224823,0.2794829,0.26941273,0.25665504,0.25233766,0.24442686,0.24081556,0.23152933,0.21739745,0.20935798,0.20357561,0.19302985,0.19112042,0.18200806,0.17730969,0.17394483,0.16736104,0.16125686,0.15890725,0.14998785,0.14550012,0.13606346,0.1291686,0.119673595,0.11246459,0.106262706,0.100707814,0.09811613,0.089809775,0.0851459,0.07013235,0.05877004,0.05339487,0.046457853,0.041251328,0.03228122,0.02777618,0.020135261,0.00924675,8.0185695e-05
0.9893154,0.9835734,0.9804514,0.9800871,0.97875994,0.9765186,0.97632396,0.97575045,0.9738782,0.9731769,0.9723532,0.97153115,0.97087115,0.97061247,0.9691426,0.96830106,0.96786916,0.96716684,0.9664576,0.9663923,0.96531314,0.9645297,0.9632884,0.9628785,0.96061563,0.9593394,0.9584766,0.9575176,0.9568483,0.9561287,0.9557771,0.9543187,0.95305353,0.9524913,0.950144,0.9492649,0.94861406,0.94722915,0.9469984,0.943445,0.94335693,0.94233465,0.94029325,0.93918824,0.93759644,0.93698215,0.93609345,0.93529165,0.9331899,0.93181926,0.92831486,0.9269378,0.9256767,0.9246335,0.9238513,0.92028403,0.91926324,0.9183725,0.9148914,0.91471034,0.9130733,0.91003734,0.9089861,0.9067516,0.90298986,0.9022461,0.89864737,0.897251,0.8943471,0.8920539,0.8914516,0.8887126,0.8874656,0.8839335,0.87946147,0.8776715,0.87350094,0.8702862,0.8694187,0.86576277,0.86147743,0.86008674,0.8559747,0.8547894,0.85169435,0.8487267,0.8424535,0.84118134,0.83867854,0.8301695,0.8283835,0.8258561,0.82110935,0.8150847,0.8111411,0.8041173,0.796333,0.79175854,0.78724605,0.78442776,0.7773757,0.76854604,0.7621393,0.75095564,0.74913067,0.74249053,0.7357826,0.72500604,0.722763,0.7111187,0.70516074,0.70180345,0.6989634,0.6846515,0.6818061,0.6787669,0.6685807,0.66392094,0.6597705,0.6402488,0.6380786,0.6238083,0.62164897,0.61829126,0.6034521,0.5949981,0.5851278,0.57044554,0.56529987,0.5537789,0.5462795,0.537081,0.52657706,0.5156837,0.50461787,0.49410132,0.49021968,0.4821223,0.47067508,0.46859062,0.4547678,0.44600272,0.44460616,0.438111,0.42434034,0.4159732,0.4123694,0.3998466,0.3902639,0.38280222,0.37294438,0.36596882,0.36025193,0.3523343,0.34370294,0.33525017,0.32430792,0.31929106,0.3058609,0.29896736,0.29596522,0.2833121,0.2778766,0.26353064,0.26288852,0.25675717,0.24805751,0.23753095,0.22959729,0.22676866,0.2219161,0.21774739,0.21022998,0.20294173,0.18552668,0.18097945,0.16295673,0.15918215,0.14998205,0.14596024,0.133478,0.12688588,0.11791065,0.112335704,0.10449303,0.099966146,0.08936332,0.08801549,0.079005696,0.07289593,0.06120027,0.058139086,0.053709783,0.045615695,0.035650484,0.032970548,0.026308464,0.017359661,0.0143764345,0.008077843
0.9844004,0.97469383,0.9698222,0.96805286,0.96451813,0.96357936,0.9633107,0.96051306,0.9581381,0.95719403,0.9556021,0.95438975,0.9516357,0.9502251,0.9499276,0.94879913,0.9479775,0.94546795,0.94461346,0.9432796,0.9418094,0.94140255,0.9400787,0.93890977,0.93791556,0.9365236,0.9354865,0.9343251,0.93165636,0.93058187,0.92835075,0.92794144,0.92629594,0.9244776,0.9230802,0.9220251,0.9210113,0.9200411,0.91824305,0.91701835,0.91684633,0.9141861,0.91414315,0.91151845,0.9096168,0.90830004,0.9063598,0.90575266,0.9035031,0.90120876,0.9006684,0.896675,0.89469993,0.89254326,0.89207315,0.88972265,0.8887694,0.8875516,0.8857454,0.88376176,0.88279134,0.88121176,0.877326,0.8749423,0.87293845,0.871444,0.87019235,0.86945355,0.86666286,0.8621972,0.86013454,0.85729855,0.8557679,0.85532385,0.85156906,0.85055745,0.8457428,0.84289765,0.842169,0.8394308,0.8352941,0.8333103,0.82960266,0.82756567,0.8224972,0.8220813,0.8204948,0.81907135,0.816468,0.81275016,0.80541664,0.8030946,0.7979119,0.7951837,0.7879185,0.7843591,0.7828175,0.7784346,0.7759453,0.7738879,0.7645273,0.75749874,0.754344,0.7496059,0.74240774,0.73818284,0.7355839,0.72670114,0.7229423,0.7167364,0.714443,0.7098383,0.70240176,0.6975953,0.6874599,0.67806256,0.6769171,0.6727616,0.6625419,0.65468097,0.64597756,0.6447364,0.6410036,0.6322333,0.63016796,0.6239041,0.61534685,0.6107089,0.6057708,0.59418386,0.5848375,0.56924266,0.565808,0.5604236,0.54947376,0.5444686,0.5324675,0.52329266,0.51916564,0.5128025,0.4993301,0.49482,0.48805717,0.48158994,0.47152048,0.45401713,0.4504999,0.44198677,0.4317494,0.4295597,0.40973228,0.40276852,0.39519286,0.38769424,0.3731882,0.36735913,0.35349455,0.34768003,0.34547597,0.33821395,0.32826036,0.32456788,0.3105224,0.30175847,0.2901925,0.2845205,0.26961344,0.26716653,0.25600007,0.24601445,0.2382269,0.23404305,0.22204018,0.21412449,0.199246,0.19808097,0.1838571,0.17964707,0.16900624,0.16103432,0.15633543,0.14188504,0.13266167,0.12959766,0.11231411,0.11042389,0.10657096,0.096917704,0.08617422,0.083253115,0.07721751,0.057656027,0.048968766,0.03987425,0.03665763,0.027402436,0.022241909,0.01699773,0.008699281,0.0021989401
0.98027366,0.96661514,0.96448433,0.9560188,0.95273226,0.951321,0.9511215,0.9477831,0.9451267,0.9449873,0.94205725,0.94017017,0.93913186,0.9386232,0.9367528,0.934844,0.93438715,0.9333747,0.93144774,0.9309551,0.9292538,0.927261,0.9265151,0.92532647,0.9239686,0.9233646,0.92263764,0.92134565,0.918755,0.91800976,0.9161126,0.9155916,0.91391546,0.91241574,0.9108302,0.90884614,0.90848714,0.90706915,0.9060876,0.90505826,0.90289813,0.9016735,0.9007743,0.8987535,0.8972821,0.89524305,0.8941782,0.8928813,0.8917636,0.8910715,0.8877722,0.8852474,0.88443434,0.8819907,0.8816299,0.8784462,0.8776179,0.87559867,0.8742593,0.87162566,0.87135917,0.87038153,0.867216,0.86581886,0.86384684,0.8624965,0.8585799,0.8579796,0.85652536,0.8538804,0.8518774,0.8512025,0.84866357,0.8449114,0.8434331,0.84189206,0.8389965,0.8387759,0.8354593,0.8322502,0.83177966,0.8278202,0.82656956,0.82541585,0.821735,0.82047474,0.81433636,0.8104905,0.8080164,0.807499,0.803369,0.80016404,0.7985502,0.7941388,0.7911964,0.79107213,0.7861574,0.7844641,0.7838169,0.77789325,0.77330923,0.7718205,0.76946163,0.75916946,0.7562683,0.75115967,0.74700385,0.7446744,0.73877966,0.7342305,0.7313597,0.72364444,0.7201999,0.7133391,0.7100095,0.7075501,0.69513094,0.6938953,0.68705547,0.68246925,0.6820427,0.6728128,0.6685222,0.6643979,0.65444964,0.64516157,0.6383103,0.6355572,0.62856054,0.6181359,0.61553735,0.61118734,0.60302037,0.5900609,0.58479166,0.5834075,0.5706638,0.5665855,0.56198126,0.55128026,0.5470153,0.5289114,0.52465963,0.5147047,0.5090812,0.5004144,0.4913327,0.48288628,0.46763486,0.46617332,0.46378502,0.46112955,0.44827318,0.4395245,0.42856643,0.42165038,0.41491103,0.3852969,0.37930095,0.3724417,0.362066,0.35432824,0.35074013,0.33925435,0.32634443,0.3222931,0.31906098,0.30429283,0.29520097,0.28159294,0.26826805,0.2638433,0.258727,0.24486582,0.23220034,0.22643344,0.21514705,0.20190294,0.1948501,0.1837698,0.17484444,0.16429998,0.15772425,0.15008624,0.13774808,0.12666667,0.12080009,0.10698401,0.09731005,0.090333946,0.08740671,0.081461914,0.06402643,0.058175836,0.05524882,0.04286308,0.039029602,0.020702112,0.011847614,0.0061102295
0.97178054,0.9673315,0.95598215,0.95385975,0.95156235,0.9468939,0.9423213,0.94101405,0.935996,0.9335959,0.9324522,0.9275351,0.9262241,0.92520386,0.9216298,0.9193175,0.9185863,0.9169233,0.91528994,0.913651,0.9131537,0.9125089,0.9098749,0.9084537,0.9066685,0.90534204,0.90376014,0.9033723,0.90055925,0.8993978,0.8977289,0.89698684,0.8968495,0.8949538,0.8914529,0.889271,0.88782156,0.88583165,0.8850864,0.8825305,0.8809074,0.87980795,0.8785061,0.87661755,0.87478244,0.8742702,0.870988,0.87060523,0.8674918,0.86550933,0.86412483,0.86325824,0.8625429,0.8608238,0.85991937,0.85901535,0.8570442,0.8553983,0.85339063,0.8497351,0.8470913,0.84617335,0.8458636,0.84413,0.83903486,0.83754474,0.8370254,0.8315961,0.83136237,0.83075774,0.82973653,0.8263963,0.8236284,0.81996906,0.8190485,0.8149351,0.81197137,0.81119984,0.80745924,0.80668926,0.8050335,0.8009253,0.7997235,0.79797095,0.796026,0.7902593,0.78920066,0.78748506,0.7860652,0.7813088,0.78048223,0.7747509,0.7731415,0.7711214,0.7685247,0.76717764,0.76375896,0.76132995,0.75629026,0.75195736,0.7456882,0.74382174,0.7415956,0.7372165,0.73259073,0.7213894,0.7177911,0.71740496,0.71509093,0.7102872,0.70840526,0.69945925,0.69616854,0.69206077,0.6907659,0.689099,0.6775029,0.67216486,0.6711119,0.66673255,0.6628112,0.6612267,0.66047263,0.65580595,0.6452887,0.6404148,0.6341322,0.6283317,0.6226213,0.6140216,0.60864204,0.6017666,0.5961992,0.5900734,0.574652,0.57382476,0.56558186,0.56178826,0.5547088,0.54870796,0.5406595,0.53895473,0.5368159,0.52034485,0.50903046,0.50224483,0.49961102,0.48991108,0.48632893,0.47606638,0.46471235,0.45577365,0.44865626,0.44084325,0.43831363,0.42544025,0.42247245,0.40346792,0.40132985,0.3943374,0.38401517,0.3816849,0.3676721,0.34823826,0.34184623,0.33361486,0.32904077,0.31486526,0.3118211,0.3087778,0.28893715,0.28364572,0.26801947,0.26211885,0.24728972,0.23958495,0.23696427,0.22603028,0.22213307,0.19266522,0.18813467,0.17594571,0.1681293,0.16239846,0.1527942,0.15166341,0.13394432,0.11271223,0.10159005,0.096437536,0.08765843,0.07419154,0.06645026,0.058853187,0.04934826,0.043200973,0.035180785,0.022286732,0.0051118396,0.0032071031
0.96337616,0.95861197,0.94358844,0.93935573,0.9322414,0.9305348,0.9247397,0.9232069,0.92153436,0.91840583,0.91413957,0.912572,0.9093716,0.908331,0.9079143,0.9052888,0.9028664,0.90122443,0.89992225,0.89760715,0.8956305,0.8935072,0.89114964,0.8900743,0.88886464,0.88604987,0.8839835,0.8822218,0.8808986,0.87838286,0.87801623,0.8767307,0.8751064,0.87475413,0.87093276,0.86945707,0.8684346,0.8677653,0.8661923,0.8646568,0.86180353,0.86107534,0.8590872,0.85702574,0.8562077,0.8534411,0.85318995,0.85067886,0.8499051,0.8482427,0.84581447,0.84537613,0.8436688,0.8420576,0.83773804,0.83690494,0.83590186,0.83369946,0.82860583,0.82827854,0.8266795,0.8254606,0.822727,0.82147866,0.81666005,0.8160405,0.81332314,0.8094741,0.8061863,0.80502725,0.80412626,0.80037445,0.7990729,0.7982836,0.7951649,0.7937786,0.7905817,0.788181,0.78477407,0.7808001,0.7788442,0.7768133,0.77520114,0.77217704,0.77104324,0.7651384,0.76454794,0.76040226,0.7583291,0.75542414,0.75468946,0.75051475,0.74774784,0.7410032,0.7399599,0.73569745,0.7344781,0.7305052,0.72781104,0.7259444,0.7180455,0.7164044,0.7123087,0.70790005,0.70515364,0.70052165,0.6980376,0.6958194,0.69277436,0.6876206,0.6832048,0.67821354,0.6722199,0.6688557,0.6678142,0.6650607,0.65688527,0.6540764,0.64897484,0.6452043,0.63450867,0.63035315,0.62663287,0.61931324,0.6157082,0.608875,0.6068205,0.6043901,0.5952484,0.5869473,0.57894856,0.5775047,0.5752647,0.568839,0.5601528,0.5560781,0.5488332,0.5403438,0.53343797,0.52903193,0.52107763,0.5114654,0.50919676,0.5049328,0.48940462,0.4841283,0.47799513,0.47152647,0.46113333,0.45735127,0.4486556,0.43895572,0.4319275,0.42138794,0.41960478,0.41177517,0.4032576,0.38821188,0.38686562,0.3679108,0.36311918,0.35965848,0.35212994,0.34581,0.34101698,0.32151407,0.31521082,0.30259383,0.2965292,0.29314888,0.27655426,0.25682744,0.253529,0.24700242,0.23897126,0.22660218,0.2132143,0.21077196,0.20116761,0.19805509,0.19466726,0.17248482,0.16626722,0.16163725,0.1494423,0.13370015,0.1251432,0.11815758,0.10311785,0.100118876,0.08966786,0.082325965,0.07160153,0.060330983,0.050550327,0.040908895,0.03731756,0.020023262,0.00410256,0.00031632234
0.9492927,0.93976706,0.926212,0.9238134,0.91913146,0.91848004,0.91365606,0.91218644,0.9056589,0.9047178,0.9032562,0.8988397,0.8970159,0.89627016,0.8924502,0.8919039,0.8883656,0.88696367,0.88528925,0.88410777,0.8829504,0.87947345,0.87733006,0.8766929,0.8758412,0.8732411,0.87247014,0.86917925,0.867714,0.8663783,0.8655202,0.86269474,0.8623652,0.85963714,0.85819995,0.856819,0.8556072,0.8532423,0.85164416,0.84901994,0.84664404,0.8462287,0.84295624,0.8405472,0.83889765,0.8372962,0.836958,0.8353822,0.83458626,0.8327526,0.8274245,0.82509387,0.8242048,0.82187754,0.8189859,0.81820005,0.81710905,0.81317645,0.8119998,0.8075621,0.8063528,0.8054077,0.80242497,0.8004514,0.79922354,0.79477775,0.7924111,0.7909495,0.7878377,0.78549016,0.783454,0.7822404,0.77885187,0.77585965,0.7741691,0.77119625,0.769312,0.7671909,0.76616853,0.76356953,0.75851834,0.75728697,0.75472313,0.75120556,0.74894077,0.74571,0.7410082,0.73834026,0.7375908,0.7330651,0.7313856,0.72592676,0.7245105,0.7214105,0.7188526,0.7172866,0.7153082,0.71215403,0.70865816,0.70272076,0.70010996,0.69401777,0.6934091,0.68722916,0.68537736,0.6799056,0.678697,0.6754378,0.67157537,0.6664124,0.6615037,0.65594995,0.65027374,0.6493728,0.6459105,0.6412845,0.63327575,0.629337,0.6217929,0.6171621,0.60869914,0.6073416,0.60262007,0.597084,0.5877549,0.57911575,0.5739767,0.57084805,0.56848377,0.5629354,0.55447114,0.5439454,0.5426874,0.53762764,0.5280903,0.5215792,0.5192684,0.51129776,0.50341016,0.49149838,0.4891178,0.48806396,0.47546694,0.4736314,0.46510556,0.4615561,0.45530388,0.4451566,0.43604472,0.43167,0.4185011,0.41482997,0.40488347,0.39997965,0.39815283,0.38074172,0.3768619,0.374958,0.3599392,0.3513822,0.3483485,0.34303284,0.33727732,0.33154908,0.32216212,0.31077212,0.29195365,0.28548425,0.28395635,0.27051556,0.263995,0.25943977,0.2510296,0.24200146,0.2236256,0.21272649,0.20951357,0.20464459,0.20060802,0.18162958,0.17150061,0.1664981,0.1602688,0.14350677,0.13066769,0.116509594,0.11250864,0.102628164,0.083473876,0.082735576,0.07647544,0.07047846,0.061196487,0.052197568,0.042401683,0.039008956,0.025766755,0.021973664,0.0122078685,0.002928072
