0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
0.13822408,0.20909907,0.23718628,0.2637824,0.28067422,0.3004757,0.31350887,0.32693878,0.3464752,0.35915,0.37668872,0.38648006,0.39746085,0.40622365,0.4105916,0.4209172,0.4274553,0.4354851,0.44505227,0.44926473
0.15903582,0.20042811,0.23391332,0.25863075,0.28295755,0.30628118,0.31739166,0.3308302,0.3439447,0.3653018,0.37326968,0.38122532,0.38999465,0.40285704,0.40872428,0.4171902,0.42180923,0.42767578,0.43496776,0.44179642
0.12372165,0.16712615,0.21757364,0.24024917,0.26327726,0.28631118,0.3040657,0.3160796,0.32616675,0.34161353,0.3545283,0.36433038,0.36979088,0.37554824,0.3861187,0.3906623,0.4060859,0.41180542,0.41719478,0.42142743
0.13386516,0.20321424,0.23678365,0.2548843,0.28886414,0.31112728,0.3306991,0.33884227,0.3588233,0.37186924,0.38635334,0.40371588,0.41445065,0.43477267,0.44448745,0.45289037,0.46079263,0.4658636,0.47073537,0.47575584
0.11559476,0.16608912,0.19490477,0.2512097,0.27470165,0.3043478,0.32054868,0.3333911,0.35254535,0.36254403,0.37105703,0.37964168,0.401223,0.4065494,0.41513368,0.4195301,0.42955652,0.43681377,0.4418925,0.44668594
0.14981006,0.20439395,0.25086054,0.29950732,0.33243105,0.36258826,0.37792674,0.39276406,0.40762237,0.41727147,0.4308156,0.4380498,0.44731584,0.45731568,0.4659577,0.47290468,0.47904658,0.48508182,0.49302423,0.496968
0.15004739,0.22050078,0.26818302,0.30261952,0.3499726,0.37469637,0.39168128,0.41244164,0.42410025,0.44316614,0.45320803,0.47218606,0.48762134,0.49417925,0.5053695,0.5135089,0.5186367,0.52911043,0.53355396,0.54114914
0.18493971,0.25272334,0.30553395,0.32761177,0.36735338,0.39405495,0.41009682,0.4293035,0.44440755,0.4561802,0.47311857,0.4846278,0.49208182,0.5008264,0.50869733,0.51447874,0.51928866,0.5235198,0.527515,0.535056
0.20096156,0.26187354,0.30797628,0.33156002,0.35841227,0.38216874,0.39752465,0.41386306,0.4253858,0.43687752,0.44852266,0.45866147,0.46831268,0.4778458,0.48304623,0.488646,0.4939404,0.4999803,0.5056859,0.5093836
0.21154682,0.27854082,0.33045658,0.35788423,0.38653612,0.40169045,0.4157528,0.43174294,0.44738278,0.45770523,0.4661623,0.47934395,0.48806873,0.49341482,0.50127906,0.51058686,0.5164703,0.5232111,0.527829,0.5320336
0.22441815,0.29625413,0.34371158,0.37273934,0.39614153,0.41839677,0.43205586,0.4490175,0.46081093,0.47155043,0.48352942,0.4954941,0.50204515,0.5106744,0.5191807,0.5272597,0.53564185,0.542622,0.5479823,0.5523105
0.2265002,0.28909245,0.33854663,0.36793768,0.38797185,0.40966773,0.42545554,0.43997085,0.45129657,0.46025035,0.47310176,0.48471314,0.491317,0.49996504,0.5077628,0.5163987,0.5223024,0.5270243,0.53572905,0.540007
0.20683004,0.2668166,0.31924197,0.35042474,0.36999047,0.38817534,0.4034082,0.41493002,0.42540464,0.43935028,0.4529294,0.46373534,0.4693905,0.47568452,0.482642,0.4879932,0.4965738,0.5015506,0.50762445,0.5149733
