0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9991693,0.9988188,0.996053,0.9953536,0.99444544,0.9919788,0.9904954,0.9902867,0.98870593,0.9880039,0.9860915,0.98416233,0.9822893,0.98017406,0.9787506,0.976955,0.9726056,0.9703736,0.9697461,0.965258,0.960764,0.95260936,0.94930315,0.9482444,0.93327034,0.9077256,0.89290553,0.8815701,0.86832565,0.85154486,0.83175546,0.7866448,0.7609756,0.72059333,0.6869196,0.54163134,0.51136684,0.33800825,0.18634912,0.0032986028
0.9987576,0.99768776,0.9964127,0.9952109,0.99362886,0.99238443,0.9921042,0.9911862,0.9900181,0.9872988,0.98638,0.9852173,0.9839825,0.9828373,0.9816817,0.97901624,0.97739077,0.97416013,0.97260165,0.96813226,0.9672936,0.96105194,0.95723426,0.95156956,0.94977266,0.93519604,0.93461967,0.91823125,0.9094281,0.89919287,0.88029826,0.8788107,0.85541964,0.7896673,0.77692,0.73007584,0.60296893,0.46195725,0.36363992,0.19677095
0.9952507,0.9946826,0.9935182,0.99104714,0.9909491,0.9869554,0.98467666,0.9834567,0.9829499,0.9807553,0.97994465,0.9782212,0.97447366,0.9721989,0.97053754,0.9698451,0.96800536,0.96505153,0.96241456,0.95878285,0.95349973,0.9465994,0.9431481,0.9351477,0.93250483,0.9230237,0.9161196,0.9088358,0.90066046,0.8968793,0.8774126,0.8624368,0.8497115,0.8374523,0.77939,0.7723248,0.62385696,0.43416965,0.2415234,0.19316775
0.9934472,0.99168783,0.9894823,0.9880911,0.98510367,0.98323923,0.98110324,0.98035395,0.9768005,0.9750072,0.9724812,0.97092175,0.9692413,0.9658481,0.96298665,0.9605254,0.9594827,0.95597625,0.9513821,0.94897646,0.9381986,0.93402237,0.925037,0.9233431,0.919709,0.9022431,0.900359,0.89306307,0.87929535,0.8769254,0.84334016,0.8301623,0.8078383,0.75072914,0.7279384,0.6914567,0.63249815,0.53613657,0.36708924,0.0782111
0.990956,0.98783696,0.98755354,0.9850853,0.98200214,0.9815216,0.9792769,0.9770688,0.9751607,0.973274,0.9691114,0.9673158,0.96665496,0.9626277,0.9601627,0.9589832,0.95627373,0.95318234,0.9529029,0.94419557,0.9399957,0.9397879,0.9348293,0.92905074,0.91684514,0.91047585,0.90351063,0.8889118,0.8841964,0.8529772,0.8501696,0.83332306,0.8034127,0.785173,0.73847526,0.6130152,0.507554,0.47037077,0.12203596,0.059027266
0.9901666,0.98500955,0.9800563,0.9792454,0.9774792,0.97225255,0.96929485,0.96596515,0.9640336,0.9611038,0.9602909,0.9569102,0.95665944,0.9538536,0.9517492,0.9427883,0.94004196,0.93676484,0.9289427,0.92694855,0.91601425,0.91366124,0.90625364,0.90179,0.89945185,0.8877104,0.8700238,0.8617467,0.8574757,0.8160367,0.7938128,0.7606489,0.74496585,0.7263204,0.6284569,0.6193416,0.51901746,0.33639777,0.14838196,0.1024252
0.9890898,0.9796169,0.9764595,0.9760705,0.9695414,0.9670078,0.9633398,0.95868206,0.9572648,0.95481986,0.9531534,0.948094,0.9469619,0.94551826,0.9417934,0.93247736,0.9261777,0.9236913,0.91967696,0.9140984,0.90404433,0.89947265,0.8977501,0.88635206,0.862958,0.8614566,0.8562399,0.8450261,0.84132093,0.80805266,0.7925068,0.77674544,0.76093334,0.7154831,0.6675815,0.55929863,0.48200226,0.40130934,0.21306187,0.030667817
0.99204695,0.9863998,0.9758966,0.97451717,0.9719799,0.97138655,0.9676282,0.96650714,0.9605674,0.9580077,0.95454794,0.9505977,0.94777536,0.9455261,0.93827575,0.9359669,0.93058085,0.9286136,0.9265704,0.92246044,0.9195436,0.91869277,0.91258353,0.8957284,0.89077425,0.8808416,0.86226815,0.84560406,0.84325457,0.8219439,0.81000924,0.79734707,0.7680816,0.7352538,0.7051662,0.5883355,0.53681463,0.41201228,0.305018,0.034979146
0.98442113,0.97951514,0.9731294,0.9675009,0.965207,0.96238893,0.9593873,0.9565199,0.9527732,0.95094216,0.9494019,0.94522554,0.9414143,0.9395104,0.93511117,0.9312658,0.9259595,0.92060703,0.9183668,0.9110719,0.9041168,0.8982745,0.8929701,0.88149756,0.86815673,0.8625596,0.85838246,0.84758484,0.8224819,0.8083618,0.7864124,0.7714742,0.7300219,0.7234333,0.6473606,0.5736998,0.4158083,0.3967941,0.12020136,0.08755543
0.9829842,0.96713465,0.9610977,0.95895094,0.9536582,0.95189756,0.9496647,0.9444624,0.9412795,0.940492,0.9390831,0.9352452,0.9326045,0.92864805,0.92196685,0.9171825,0.91507757,0.90717787,0.9029917,0.8990704,0.8870215,0.88608414,0.8795709,0.87568295,0.8671179,0.8523655,0.84809303,0.8321538,0.8296027,0.81388223,0.8016516,0.779489,0.7578611,0.72199994,0.66700554,0.65140015,0.53504616,0.3686383,0.14716844,0.11113168
0.9868425,0.96017075,0.9569306,0.95633537,0.9527008,0.9499993,0.94734246,0.9409669,0.9399224,0.9356819,0.932518,0.9265347,0.9247299,0.92333037,0.91553783,0.9105282,0.9068506,0.90287167,0.88985085,0.8887477,0.88185406,0.8773619,0.8701665,0.8620831,0.8500795,0.846285,0.8333987,0.81852794,0.81622595,0.7816269,0.7591309,0.74971086,0.6988446,0.6410004,0.5893779,0.4310527,0.4177046,0.3487955,0.15631117,0.06632312
0.9813133,0.95570016,0.9501405,0.94783926,0.9461226,0.94193697,0.93802047,0.93485695,0.93121666,0.926463,0.9236351,0.9195788,0.9140348,0.9081607,0.90635556,0.9011024,0.89562654,0.8919231,0.8834964,0.87977093,0.8675557,0.85538614,0.853383,0.8495799,0.8423839,0.8351579,0.82480067,0.8132482,0.7941714,0.7683302,0.7394216,0.7115727,0.68040204,0.6286764,0.6049048,0.5894256,0.4505528,0.16955711,0.12511824,0.0040194956
