0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9977929,0.99660254,0.99636346,0.99569863,0.99493515,0.9947429,0.9937258,0.99316716,0.9927012,0.9925559,0.99201286,0.99177957,0.9914596,0.99092585,0.99047357,0.9904542,0.9900133,0.9898601,0.9896273,0.9892537,0.9888931,0.98839533,0.9880723,0.9878745,0.98751116,0.9871885,0.9867009,0.9857885,0.9855744,0.9849751,0.98448104,0.9842569,0.9838169,0.98348135,0.9826889,0.9823453,0.98193413,0.98149997,0.98043996,0.97995,0.97978234,0.97870356,0.9782461,0.9774247,0.97641695,0.97567135,0.9752147,0.9743218,0.9739854,0.9730859,0.9709438,0.9698077,0.96917915,0.968178,0.967422,0.96524906,0.96424735,0.9632743,0.96115494,0.9588088,0.95789945,0.9562105,0.9557046,0.954033,0.95035464,0.94917643,0.9464471,0.94243383,0.94077325,0.9386205,0.93662274,0.9324524,0.9259858,0.92253923,0.92015815,0.91816396,0.9132527,0.9097514,0.90734076,0.9018554,0.89701027,0.896193,0.8910164,0.8831456,0.881065,0.87549245,0.86477107,0.85977775,0.8524692,0.84956974,0.84442246,0.83872575,0.8345577,0.8281439,0.82491124,0.8176937,0.80227935,0.7999761,0.7975558,0.7911739,0.78649604,0.7799727,0.76432616,0.76156974,0.7559908,0.7525297,0.7397492,0.73016006,0.72600996,0.7222155,0.72005236,0.71337074,0.70227665,0.6926386,0.68885475,0.6696274,0.664844,0.6604786,0.6533784,0.640316,0.6396701,0.62456053,0.6175477,0.6089595,0.5906756,0.58584106,0.5848376,0.5780322,0.56039274,0.5480136,0.54143846,0.53318685,0.5211669,0.5161787,0.50480586,0.49972874,0.48799053,0.47266692,0.46637237,0.45950547,0.4456413,0.4348847,0.427944,0.41161308,0.4044562,0.3979907,0.37751856,0.3720983,0.35477796,0.34811854,0.33881307,0.3302681,0.32868513,0.30778852,0.30005738,0.29570946,0.28794315,0.26343453,0.26246563,0.2406163,0.22052647,0.21612296,0.2023781,0.19252811,0.18749632,0.17393458,0.1542834,0.14658996,0.12561527,0.11429924,0.10396339,0.101796575,0.094914034,0.067581885,0.051677093,0.041497603,0.036759246,0.022182666,0.018741941,0.0011123242
0.99616885,0.9953185,0.9946826,0.9939833,0.99392176,0.99315304,0.9922461,0.99187064,0.9912024,0.99037606,0.9901947,0.988821,0.98852086,0.98806244,0.9876052,0.9871314,0.9867112,0.98595315,0.9858192,0.98562586,0.98514444,0.9844852,0.983789,0.98336864,0.98249936,0.982057,0.9818051,0.9815027,0.9809763,0.9795611,0.97939247,0.97894955,0.97848207,0.9770119,0.9765894,0.9759252,0.9752915,0.97380793,0.9735375,0.9725612,0.9715036,0.97091305,0.9698585,0.96797794,0.96719176,0.9669758,0.9651295,0.96366227,0.9629086,0.9622144,0.959877,0.95866275,0.9581884,0.9563553,0.9531922,0.9510139,0.9498205,0.9466974,0.94519913,0.9430219,0.94031435,0.9398259,0.9378994,0.93573344,0.9348398,0.9307156,0.9272953,0.92422813,0.9194985,0.91751957,0.9156772,0.9115402,0.9032074,0.90304434,0.9010975,0.89905477,0.8966679,0.8915006,0.88694805,0.881202,0.8776506,0.8743873,0.86726373,0.86220473,0.8573772,0.8536975,0.84845847,0.84578854,0.8369369,0.83431315,0.8256093,0.8222357,0.81386334,0.80584323,0.8000288,0.79610986,0.7845254,0.7777946,0.773264,0.770922,0.7594725,0.7566495,0.7536227,0.7486426,0.7339995,0.72675496,0.7212137,0.7089624,0.701574,0.69672495,0.6918648,0.68024737,0.6729745,0.660908,0.64820033,0.643739,0.63685936,0.62651527,0.62450737,0.61546403,0.6031274,0.5957257,0.5891556,0.56951904,0.56334627,0.5492092,0.54249185,0.5417835,0.5325609,0.513572,0.5100621,0.4957972,0.49387178,0.47345254,0.46666595,0.46100777,0.44931942,0.44173113,0.43286398,0.4215684,0.41032222,0.40075734,0.3925451,0.3800246,0.37491113,0.34798297,0.33979502,0.33265522,0.3132941,0.3051495,0.3024355,0.28853443,0.27968395,0.27068526,0.25496954,0.24794367,0.24459247,0.23040928,0.22812599,0.21535958,0.20590915,0.19147791,0.18940307,0.17753789,0.16428918,0.15858394,0.14537998,0.13708062,0.12901387,0.10920312,0.09629924,0.08546471,0.07852845,0.062493153,0.055411384,0.05048967,0.046862487,0.03073068,0.018561294,0.014892839
0.9940185,0.99224067,0.9909774,0.9888124,0.9871947,0.9865739,0.98615235,0.9858944,0.98508304,0.9846659,0.9827641,0.9823343,0.9808746,0.9803189,0.97953767,0.9786651,0.9783308,0.97788435,0.9771036,0.9767618,0.975632,0.9753204,0.97389054,0.9722669,0.97161365,0.9713709,0.97106177,0.9692053,0.9686662,0.9670575,0.9658842,0.9652128,0.9638497,0.96207654,0.9609862,0.96045506,0.9593713,0.95925653,0.95730954,0.95721924,0.9546915,0.9533155,0.9523394,0.95027614,0.94969136,0.94830495,0.9454558,0.9441107,0.9436419,0.94105524,0.94021153,0.9377284,0.9349737,0.9331453,0.93213415,0.93085593,0.926284,0.92526835,0.9247645,0.9234044,0.9220105,0.92052495,0.919502,0.91640186,0.91132545,0.91096276,0.903854,0.896249,0.8942576,0.8924864,0.89026815,0.8879178,0.8846386,0.8794551,0.8766412,0.87148964,0.8654957,0.8652568,0.860458,0.85550284,0.85141104,0.8480425,0.8427026,0.8405796,0.8278028,0.8203703,0.81585205,0.81313914,0.8049682,0.79975235,0.79376245,0.79041,0.78411573,0.7807169,0.7706862,0.7623601,0.7600699,0.7539402,0.7501169,0.740369,0.7324141,0.7281919,0.72140074,0.7156091,0.7064473,0.69319654,0.6884586,0.68129194,0.67768246,0.67056596,0.6588572,0.6447212,0.6386039,0.63281935,0.6185306,0.6153704,0.6104582,0.5979623,0.5934182,0.58235157,0.5776415,0.5561613,0.5441648,0.53883415,0.53203416,0.5180579,0.51253587,0.5088706,0.5039556,0.49162725,0.48462814,0.46342587,0.45333013,0.45164016,0.43838212,0.4289496,0.41744822,0.41138145,0.3917712,0.38329628,0.3778321,0.3618951,0.3563822,0.34633416,0.33064982,0.325674,0.32112873,0.31639278,0.30950144,0.28583714,0.2854096,0.2751545,0.26827145,0.25663546,0.24858527,0.23870341,0.2327293,0.22885413,0.21322247,0.21059243,0.19828826,0.18713744,0.18117447,0.17148438,0.16339487,0.14370935,0.1394379,0.12348424,0.10772252,0.104578614,0.09618482,0.09023746,0.071762085,0.058543302,0.053185962,0.047273993,0.036502775,0.027218085,0.008452049,0.004388626
0.98692405,0.9850785,0.9837398,0.9826369,0.98079646,0.9801626,0.9795308,0.9792994,0.9780885,0.9771906,0.97627175,0.97469735,0.97437143,0.9740722,0.9734404,0.9733059,0.9721042,0.9714994,0.9703227,0.9699505,0.9679583,0.9676223,0.96636456,0.9658891,0.9653503,0.96442395,0.9629886,0.9618994,0.9617628,0.9593918,0.9583246,0.95794976,0.95717496,0.95446336,0.954148,0.95350516,0.9520844,0.9519381,0.95153505,0.94982076,0.9488772,0.94738364,0.9454498,0.94454795,0.944003,0.9432114,0.9415533,0.9397662,0.93841773,0.9367299,0.9362433,0.93409544,0.9321993,0.93108135,0.92886835,0.92766833,0.9258587,0.9231151,0.9214875,0.92057306,0.91822326,0.91778505,0.91558605,0.91241586,0.9116965,0.9111172,0.90840346,0.90761936,0.9059146,0.9031731,0.9003068,0.89870584,0.8962246,0.8944964,0.8904987,0.8862176,0.8824934,0.88161856,0.8784509,0.8733279,0.8712973,0.8665126,0.86488074,0.86301726,0.8603098,0.85791034,0.8508109,0.84660095,0.8457907,0.83964086,0.83591324,0.8342053,0.82624996,0.8218275,0.8195722,0.81210077,0.8072192,0.8015441,0.79845303,0.7882526,0.78556705,0.7808544,0.7777062,0.77078366,0.76892394,0.7603708,0.7567586,0.7421701,0.7340988,0.72253793,0.71605754,0.7134792,0.70978934,0.7039928,0.6975246,0.69043267,0.6867963,0.6732236,0.6591429,0.6573709,0.6412473,0.6373342,0.6173469,0.610815,0.60523707,0.5994012,0.58784294,0.58015406,0.56200415,0.55269337,0.53973305,0.53098345,0.52911365,0.50518477,0.49194074,0.48033816,0.47181323,0.46405193,0.45259154,0.43557897,0.4176079,0.41375476,0.40663972,0.39092952,0.38673013,0.38279352,0.36841726,0.35976887,0.34287766,0.33490148,0.3148978,0.30520535,0.29507056,0.28048784,0.27185777,0.25717813,0.25656885,0.23689863,0.23039529,0.2153991,0.20847155,0.19457811,0.19213618,0.17509909,0.1690935,0.16058175,0.14087851,0.13785388,0.12753646,0.117082834,0.10120773,0.09098427,0.07874614,0.06102405,0.054297335,0.045736264,0.04136873,0.025649223,0.024533447,0.024023544
0.98091316,0.9694654,0.9659698,0.9638981,0.9613868,0.958747,0.9547714,0.9533529,0.9530893,0.9504296,0.9499972,0.9483623,0.9470569,0.9462081,0.943891,0.94321257,0.9421162,0.93977666,0.9378774,0.9375767,0.93592733,0.93474454,0.93377215,0.93256414,0.9312664,0.9301573,0.92915344,0.92735344,0.9252956,0.92349255,0.92224216,0.9207922,0.9202855,0.9193752,0.91616845,0.91550183,0.9120975,0.9116319,0.9107925,0.90912205,0.9084778,0.9065646,0.904263,0.9040286,0.90305275,0.900138,0.89825255,0.8949918,0.8941225,0.89224666,0.89154327,0.8869935,0.88674927,0.8816164,0.88069105,0.8783102,0.8776778,0.8764288,0.87440944,0.86983275,0.8690138,0.86550355,0.8648518,0.860089,0.85958666,0.85882777,0.85487616,0.85339546,0.84922224,0.8483544,0.8458971,0.84392816,0.839917,0.83815444,0.8331216,0.8310699,0.82958734,0.8255681,0.8224071,0.8207508,0.81640345,0.8143986,0.8121601,0.80959344,0.8058585,0.8006595,0.7981061,0.79720163,0.7899146,0.78302133,0.77951264,0.77426326,0.7691937,0.767035,0.75852513,0.7549892,0.75078726,0.7461858,0.74255615,0.7355606,0.7311367,0.7213486,0.71794283,0.7126596,0.7074203,0.70361793,0.6975009,0.6925741,0.68715364,0.67537254,0.6677025,0.66305006,0.655823,0.6443532,0.64088714,0.63515174,0.63051856,0.6278238,0.6156789,0.61171037,0.6070271,0.6031266,0.59265804,0.5792528,0.5779025,0.56685644,0.55293965,0.5498275,0.53670067,0.53140503,0.52424836,0.51139903,0.5044556,0.49561164,0.4901216,0.46256623,0.4604031,0.4461724,0.44402224,0.42662057,0.41282716,0.40392503,0.39370918,0.39171946,0.3880088,0.36490643,0.35693133,0.34082222,0.32625338,0.32271484,0.31206986,0.2947727,0.29068056,0.268873,0.25599396,0.24741735,0.23526862,0.22721237,0.21696721,0.2061333,0.20196399,0.19399905,0.17605913,0.16797341,0.15748861,0.15183032,0.12874447,0.118204795,0.10798806,0.101673886,0.09698418,0.07676077,0.068803005,0.06296496,0.060546577,0.048230894,0.026597073,0.017627783,0.009874123,0.0066141537
0.9788795,0.9682732,0.96710515,0.9582328,0.95535946,0.9521166,0.9483051,0.9468425,0.9440687,0.94121534,0.9403661,0.93810016,0.935774,0.9349302,0.9336561,0.9316201,0.93039006,0.9296213,0.9283254,0.92559874,0.9245126,0.92247415,0.9204861,0.9193252,0.9188486,0.9180814,0.9157467,0.9148312,0.91274184,0.91244775,0.9104298,0.90679437,0.9046949,0.90403837,0.9031078,0.90151423,0.8997739,0.89734757,0.897047,0.8954104,0.894272,0.89182717,0.891372,0.88997954,0.8877903,0.88566184,0.884694,0.8835032,0.88193345,0.8805452,0.87697667,0.8759137,0.8748453,0.8718711,0.8694573,0.8681437,0.8655585,0.86424625,0.8609047,0.8586715,0.8570766,0.85465837,0.8543278,0.8518475,0.84901655,0.8471467,0.84441465,0.84282017,0.84199,0.83860296,0.837015,0.83247995,0.8316144,0.82987475,0.82866216,0.8267136,0.8219453,0.81654114,0.81363934,0.81320685,0.80913544,0.8062302,0.8049009,0.8017322,0.79847527,0.79589117,0.7925702,0.79020053,0.7858193,0.78008604,0.7787518,0.77528065,0.7731871,0.76816773,0.766454,0.76005787,0.7556984,0.7505218,0.7483383,0.74661934,0.73916614,0.73456854,0.7312265,0.72375816,0.71879995,0.7162372,0.7112658,0.7107335,0.7052915,0.70117027,0.69666076,0.68628067,0.68505,0.67583716,0.671279,0.6683311,0.65723485,0.64552665,0.6410985,0.6344746,0.6259023,0.62045854,0.6081573,0.6034937,0.5943027,0.59292245,0.5870502,0.5756037,0.57341033,0.56576353,0.55357665,0.5476482,0.5374485,0.52418655,0.5157645,0.503764,0.50067896,0.4895878,0.47193173,0.46785942,0.45728964,0.4513394,0.43823344,0.43261164,0.4186755,0.38909492,0.38686734,0.37076765,0.35798377,0.3541119,0.33809882,0.3254724,0.30845454,0.3064301,0.3003301,0.29718095,0.27300572,0.254421,0.25255504,0.23647423,0.22384354,0.21402593,0.20438427,0.1909365,0.17640547,0.16700734,0.15391946,0.1441072,0.12535062,0.11966532,0.09852716,0.084587656,0.06922634,0.05800053,0.05228872,0.045481056,0.039233305,0.034795552,0.01934677,0.009106234
0.98025936,0.9726775,0.970953,0.95915234,0.9484141,0.94600844,0.9435137,0.9416939,0.94058406,0.9377941,0.93732804,0.93565696,0.9327065,0.9314221,0.93031174,0.9282282,0.926165,0.92456734,0.9229817,0.921859,0.9202234,0.9179764,0.9166009,0.9151761,0.9127041,0.91251206,0.9113721,0.9099244,0.9094088,0.90764934,0.9071136,0.9056318,0.9033845,0.90124446,0.8993279,0.8960311,0.894717,0.8940216,0.89115924,0.8906492,0.8897818,0.88686705,0.88531095,0.8846755,0.8821211,0.88136935,0.8789724,0.87797874,0.8757379,0.8752848,0.8739265,0.87091196,0.86905926,0.8650499,0.8644975,0.86342585,0.8608685,0.8589896,0.8566581,0.85178584,0.8511763,0.8490665,0.8487881,0.8472348,0.8467934,0.8401884,0.8388847,0.8373667,0.8352837,0.83355504,0.82992727,0.82867134,0.8248606,0.8237059,0.8211954,0.8182896,0.8147561,0.81402755,0.8109482,0.8072922,0.80509186,0.80281794,0.7974919,0.7959915,0.7910345,0.789718,0.78123164,0.78010756,0.7778055,0.7765985,0.7735481,0.7712838,0.7700942,0.7664452,0.7611296,0.7594573,0.7578995,0.7555735,0.7455553,0.7440494,0.7383899,0.73549026,0.73216975,0.72992533,0.72051764,0.71877766,0.7127925,0.7090166,0.7038913,0.69592845,0.6913788,0.68658584,0.68253905,0.6795254,0.67447644,0.67096555,0.6693293,0.6637342,0.6572669,0.6477286,0.6432439,0.63858086,0.6299958,0.62580055,0.6123359,0.6063504,0.594691,0.58898085,0.57790273,0.5675415,0.56471854,0.5534961,0.5453296,0.5404822,0.53258336,0.5257128,0.51715696,0.50940096,0.49518606,0.4891619,0.48133072,0.468982,0.4595412,0.45279428,0.4470651,0.43478924,0.43004254,0.42166322,0.40509972,0.37356192,0.36519918,0.35628924,0.350384,0.33604327,0.32986227,0.30631003,0.30392104,0.28282282,0.27372485,0.25379044,0.24904385,0.22823909,0.22264498,0.20637812,0.19457567,0.17965482,0.1700793,0.15945736,0.1528304,0.14061117,0.13421342,0.103195384,0.09559916,0.080206424,0.07447015,0.042442255,0.028657738,0.023284057,0.019944597,0.007900398
0.96817416,0.95613605,0.9509532,0.94797486,0.9387801,0.9356383,0.9318975,0.93152857,0.9237179,0.9211179,0.9196371,0.9182402,0.91585135,0.9146091,0.91180444,0.91034347,0.9087128,0.9074935,0.905487,0.90508157,0.9033842,0.90245676,0.899563,0.89658743,0.8946758,0.8933496,0.89194167,0.8882524,0.88447547,0.88425463,0.8825561,0.8814615,0.87928325,0.8775308,0.8770073,0.87578565,0.8738959,0.8709366,0.8688229,0.868086,0.8668512,0.86639446,0.8626218,0.8596584,0.859524,0.85841167,0.856094,0.8533521,0.8523601,0.84784156,0.8470575,0.8461882,0.8434118,0.84206617,0.839089,0.8358276,0.8328543,0.831277,0.8296638,0.828641,0.8245293,0.82422775,0.82112193,0.81702757,0.8152272,0.8111908,0.808382,0.8071367,0.8056254,0.8043025,0.8032672,0.8003884,0.79884386,0.7939949,0.7927002,0.7911865,0.78708994,0.784422,0.78221726,0.7776897,0.7739468,0.77270097,0.7687135,0.7671305,0.76560277,0.7634506,0.7607481,0.75779057,0.75142103,0.7487389,0.741779,0.7401429,0.739006,0.7374239,0.72998166,0.7274598,0.7246391,0.7150338,0.7131892,0.71104985,0.7094979,0.7049,0.7000509,0.69389266,0.69143826,0.6880064,0.6830095,0.6786435,0.6725782,0.66221565,0.65991825,0.6501365,0.64924234,0.6415668,0.6389879,0.633339,0.6221937,0.61826074,0.6126196,0.60755813,0.60535085,0.6011553,0.59264344,0.5874533,0.5760573,0.57121927,0.5603259,0.5548556,0.5509671,0.549716,0.54002607,0.52895993,0.52284783,0.51355857,0.5083451,0.4956967,0.47857353,0.47533208,0.46683723,0.4587791,0.44662166,0.44463292,0.43192145,0.42364624,0.4173887,0.4052723,0.39920858,0.38465506,0.36250618,0.3578037,0.33839032,0.33173957,0.32228917,0.31808016,0.31019372,0.28884155,0.28047624,0.27373913,0.25198182,0.24885555,0.2280251,0.21462376,0.21179676,0.19806503,0.19203913,0.18400632,0.1734574,0.16486347,0.15149416,0.12243846,0.11757986,0.109933585,0.093599364,0.06908033,0.05547532,0.044072423,0.03989938,0.034991886,0.018958915,0.0018896513
0.95666254,0.9518414,0.93781036,0.93755335,0.9346812,0.93051,0.9292458,0.9260098,0.92446107,0.92001134,0.9174332,0.9142207,0.9140218,0.91155493,0.90944904,0.90755475,0.9066729,0.9047545,0.9031511,0.90215963,0.8986757,0.8962617,0.89404124,0.8934728,0.89215124,0.89087933,0.8875855,0.8841187,0.8821244,0.8810873,0.8796323,0.8773729,0.87605494,0.87408364,0.8733454,0.8717924,0.869989,0.8673978,0.8661128,0.86454666,0.8631499,0.8607707,0.8582418,0.85655606,0.85317004,0.852069,0.8484132,0.84659266,0.8453009,0.84257567,0.8401154,0.8382632,0.8375609,0.8341771,0.83366543,0.8304637,0.8286482,0.82676935,0.82545763,0.8233666,0.8220417,0.82033867,0.8181608,0.81421864,0.81323016,0.8097235,0.8050652,0.80396414,0.8009783,0.7974666,0.7952607,0.79310465,0.7907708,0.7893789,0.78550637,0.78186446,0.78126454,0.7754525,0.7738827,0.7727837,0.7658394,0.7628528,0.76012903,0.7567118,0.7544443,0.7499598,0.7483196,0.74602103,0.7385553,0.73776656,0.7341767,0.73189306,0.72961134,0.72114503,0.71884584,0.7129618,0.70841366,0.70722204,0.7052185,0.70118123,0.6947771,0.6927705,0.6884244,0.6862958,0.67886066,0.67309684,0.6694839,0.6617569,0.657248,0.65444523,0.64781713,0.63689584,0.6333966,0.6297367,0.6213299,0.6201241,0.6128396,0.60861987,0.6029066,0.60195744,0.6001925,0.5783516,0.5751109,0.56687987,0.561324,0.5546831,0.5507986,0.53425497,0.5271761,0.51766133,0.5172778,0.49204186,0.48980302,0.48012525,0.47807795,0.46968433,0.46395493,0.45753694,0.44516456,0.4419833,0.4279214,0.42065552,0.40768585,0.40339366,0.39000276,0.38112432,0.36168915,0.3536321,0.35010862,0.3451737,0.33874503,0.32331765,0.31112146,0.29413822,0.2919646,0.2848488,0.2749064,0.25966096,0.25055873,0.24256814,0.23910713,0.2164505,0.21156491,0.19191465,0.17787309,0.1731701,0.15064338,0.14029914,0.12569027,0.119558014,0.10875135,0.10268856,0.08396073,0.076903895,0.065956056,0.06329072,0.05256127,0.03709939,0.021286462,0.0050721844
