0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.99977434,0.99973106,0.9995125,0.9992706,0.99899566,0.99892026,0.9988875,0.99874943,0.9986792,0.99854773,0.9985068,0.998431,0.99831855,0.9982747,0.9981888,0.9980721,0.99804586,0.99793863,0.9979088,0.99783015,0.99777526,0.9977572,0.9975751,0.99752146,0.9974889,0.9974449,0.9973683,0.997226,0.9970958,0.9970199,0.99684465,0.9967771,0.9966783,0.99661225,0.99647826,0.99638563,0.99632865,0.99620306,0.99600923,0.9958647,0.9956041,0.9955792,0.99537385,0.9952799,0.99517435,0.99516743,0.99505705,0.9946377,0.99446535,0.9943753,0.99412036,0.9938486,0.9936053,0.9934871,0.9933296,0.9931831,0.9927848,0.9925661,0.9922888,0.99173385,0.99145865,0.99131685,0.9908529,0.9906837,0.9899976,0.9897434,0.989603,0.98904914,0.98866075,0.98847795,0.9878202,0.98768646,0.9868777,0.98674875,0.98585737,0.98510194,0.9850025,0.98432803,0.9838647,0.9836208,0.982913,0.98134625,0.9807872,0.98054653,0.97915304,0.97888136,0.9779037,0.976563,0.97513926,0.97468877,0.9735516,0.9703285,0.96925783,0.96799326,0.9674216,0.9662773,0.9650154,0.9595261,0.95903313,0.95578516,0.9544368,0.9531233,0.94948334,0.9469368,0.9441922,0.9396522,0.9369537,0.93133956,0.93115777,0.92520916,0.91616666,0.9152036,0.9098847,0.90511537,0.8969766,0.89110875,0.8823277,0.87358266,0.8589178,0.85162425,0.8468967,0.8312295,0.81981325,0.8166427,0.7968068,0.7677319,0.7590883,0.7458432,0.73713356,0.7176088,0.70274377,0.6796908,0.6699422,0.66169775,0.6370264,0.59121954,0.5637745,0.5385423,0.53401023,0.4614381,0.4471655,0.4373615,0.4163003,0.38240758,0.3756369,0.34348345,0.2968693,0.26759282,0.23509471,0.23115848,0.20281029,0.18140346,0.14575072,0.12863728,0.12121627,0.105678886,0.09245346,0.060506597,0.040980604,0.00056386576
0.996308,0.9949165,0.9945345,0.9943299,0.9938378,0.9936126,0.9928131,0.99226475,0.99196196,0.99162465,0.9912203,0.9906631,0.9905541,0.99011034,0.9897627,0.9888878,0.98851854,0.9882032,0.9878779,0.98760825,0.98736596,0.987001,0.98615366,0.9856897,0.98532766,0.98497885,0.984364,0.9839796,0.9831304,0.98270065,0.9816551,0.98119617,0.9801192,0.97963506,0.97925514,0.97817445,0.97778696,0.97759086,0.97658956,0.97578514,0.9754258,0.973975,0.9732431,0.9713486,0.97076344,0.97004163,0.9691864,0.9679971,0.9660599,0.96496,0.96379924,0.962837,0.9610753,0.96040934,0.95869017,0.95733947,0.956659,0.9544415,0.95153934,0.95075685,0.94896674,0.9484127,0.94337285,0.9413162,0.93805104,0.9365738,0.93487453,0.9303042,0.92955244,0.9278377,0.9244374,0.92143303,0.9188786,0.9173982,0.91023463,0.9095677,0.90408504,0.9027869,0.8949802,0.88990325,0.88726646,0.8829451,0.879171,0.8696702,0.85985357,0.85613424,0.8510949,0.83956,0.8364861,0.83181375,0.8293988,0.82237506,0.8110147,0.7991288,0.78256774,0.7761212,0.76946396,0.7629872,0.7515078,0.7372316,0.72969353,0.72417146,0.71326715,0.7075781,0.6814248,0.6779455,0.6669351,0.641527,0.6385139,0.6259033,0.62213135,0.60122854,0.57576305,0.5631161,0.55575293,0.54428065,0.5251581,0.5239365,0.49903613,0.4929137,0.47214377,0.46540034,0.44661608,0.43272874,0.42224553,0.408377,0.396035,0.3879594,0.36755112,0.35947314,0.33928823,0.32588947,0.31202382,0.30195823,0.29461414,0.2737477,0.2620881,0.24409276,0.23821445,0.23273423,0.21357349,0.2111982,0.20255266,0.19649039,0.17551783,0.15112385,0.14769813,0.13014251,0.11714793,0.10658415,0.09834784,0.082262166,0.0762674,0.06779094,0.062941596,0.047549747,0.04345546,0.027711067,0.012248762,0.001897274
0.9909182,0.9859948,0.984491,0.9838588,0.98292303,0.9817692,0.9808353,0.97987914,0.977905,0.97697806,0.97660714,0.9756849,0.9740477,0.97334254,0.9727084,0.97106975,0.97098154,0.9690442,0.96802866,0.96696824,0.9657713,0.9653172,0.9643152,0.96347016,0.96184,0.96150506,0.96099734,0.9593746,0.9575235,0.9561047,0.9543472,0.9518985,0.9493771,0.9482847,0.94789326,0.9469911,0.94545305,0.9422711,0.9406962,0.938419,0.9371427,0.93557936,0.9344387,0.932469,0.92948264,0.9264924,0.92346036,0.9214803,0.9198209,0.9167051,0.9131956,0.9118119,0.90758497,0.9026155,0.90106004,0.8939887,0.891799,0.88919973,0.88549095,0.8800725,0.8765116,0.8734451,0.8682267,0.86177534,0.8541616,0.85168695,0.84429175,0.8377447,0.83379877,0.8263511,0.8213144,0.81740016,0.81341344,0.8088661,0.8001996,0.79523134,0.78601444,0.7725966,0.7671243,0.7549778,0.74786985,0.73860705,0.7345434,0.7289065,0.7206655,0.6981529,0.6924802,0.68108135,0.66854244,0.6540087,0.64683735,0.6369786,0.6330893,0.6177465,0.61183935,0.6057749,0.58909607,0.5701484,0.55834305,0.54789436,0.5457218,0.5227439,0.51499283,0.4958681,0.49096206,0.48093134,0.47421792,0.4696071,0.4591036,0.44769117,0.44035882,0.42591488,0.42512873,0.4108921,0.40207094,0.3841849,0.37436432,0.36191553,0.35350338,0.3398733,0.33670983,0.32949835,0.32489184,0.31036574,0.30103305,0.28827295,0.27931783,0.2708796,0.26385987,0.2565152,0.25104183,0.23315907,0.22350144,0.21293078,0.21130474,0.2020916,0.19639656,0.1763456,0.1679392,0.16341823,0.15415646,0.13975291,0.13394605,0.12259266,0.122006685,0.10807199,0.102508426,0.097706564,0.08781027,0.08456322,0.08139773,0.06977465,0.060086116,0.052595794,0.042207103,0.036438964,0.03220068,0.016639024,0.006224457,0.0016487743
0.9871014,0.97989273,0.97808087,0.97652674,0.9744829,0.97327405,0.972038,0.9697336,0.9690025,0.968196,0.96635807,0.9647859,0.9639777,0.96318763,0.96198225,0.9612147,0.96002537,0.9588871,0.9586332,0.9566317,0.9552915,0.9533478,0.95226824,0.95164776,0.94927156,0.9474398,0.9457055,0.9447248,0.9428215,0.9408688,0.94056743,0.9397288,0.937636,0.93641686,0.9349951,0.93082136,0.9301356,0.92832315,0.92741096,0.92588705,0.92327124,0.92203087,0.92147654,0.9168922,0.9145112,0.9140892,0.9106461,0.90693974,0.9056795,0.9010356,0.8991026,0.8989333,0.8951464,0.8943839,0.8913276,0.8889476,0.88638073,0.879413,0.87547666,0.8714182,0.8679917,0.8665656,0.8643768,0.8628586,0.857132,0.8513431,0.8463813,0.8399541,0.836565,0.8345913,0.8237668,0.8136741,0.8090527,0.8012377,0.7966789,0.7938808,0.7858683,0.77545637,0.76875234,0.763878,0.7518964,0.745775,0.7311376,0.72676194,0.71204317,0.7084486,0.69542485,0.68907744,0.68656397,0.6816532,0.6616513,0.65240926,0.647843,0.6438429,0.62694955,0.61937064,0.60397494,0.5949336,0.5853739,0.5667763,0.56368864,0.5490934,0.5320103,0.5303597,0.52338153,0.50573313,0.49336588,0.47976875,0.47773576,0.4628458,0.4518821,0.44027272,0.42818528,0.41363543,0.40502226,0.40047795,0.39239004,0.39096722,0.3693574,0.36073175,0.3564513,0.34966817,0.33701295,0.33067292,0.32628748,0.31785795,0.30748767,0.2869078,0.2784088,0.2663347,0.259649,0.24688312,0.23364972,0.22922431,0.22732958,0.21590936,0.2021747,0.1938293,0.19289863,0.18150136,0.16220197,0.15956277,0.14327121,0.13453212,0.12874295,0.114752896,0.11051664,0.10222793,0.09624978,0.080545165,0.0736556,0.05511763,0.048036616,0.046797812,0.046017215,0.034390066,0.032437745,0.023851825,0.016315892,0.00014054174
0.9809839,0.9691574,0.9657343,0.9629734,0.95867,0.9576357,0.9552764,0.9529418,0.95208037,0.9490177,0.9487802,0.94582313,0.94276065,0.9404702,0.9387856,0.93826133,0.93470645,0.93334806,0.93121934,0.93107814,0.93018484,0.92787284,0.9263969,0.92433506,0.9232382,0.9215359,0.91872156,0.91624707,0.9152893,0.9145444,0.9123002,0.91186094,0.9076134,0.9070414,0.9061731,0.90209866,0.8990498,0.89739937,0.8959816,0.8926896,0.8908076,0.88678896,0.8842535,0.8814944,0.880414,0.8795998,0.8750928,0.87395245,0.87200934,0.87090605,0.8679819,0.8643378,0.8596642,0.85866463,0.85580516,0.85502744,0.8510137,0.8480959,0.84630364,0.8411705,0.839846,0.83301467,0.8293861,0.8271465,0.8216667,0.81617945,0.8116331,0.80914795,0.80499685,0.80130416,0.7999781,0.7927774,0.79069763,0.7874696,0.7813923,0.77189827,0.7650361,0.7596389,0.75865644,0.7478626,0.74098796,0.73863417,0.73378867,0.7301473,0.71907747,0.71514845,0.7107453,0.7028949,0.6966914,0.69519705,0.6876845,0.67285216,0.6689065,0.6509057,0.6482498,0.6442244,0.63031775,0.6224689,0.61309713,0.6115712,0.5931733,0.58685726,0.5831435,0.5743009,0.56280893,0.55299187,0.5375832,0.5267115,0.5135483,0.5059513,0.48676413,0.48261324,0.47668362,0.46628964,0.44571778,0.44482318,0.43058133,0.42056805,0.41768363,0.39824438,0.39482844,0.3911758,0.36685926,0.3582084,0.34145534,0.3312876,0.3217599,0.32058623,0.30821338,0.30552644,0.28350255,0.27355036,0.25511882,0.25385562,0.24532548,0.23210284,0.21375895,0.20937164,0.19811824,0.19317552,0.18645737,0.18039098,0.15987144,0.15243997,0.1417057,0.13915497,0.121910386,0.1174931,0.112382755,0.09799337,0.095069624,0.08861558,0.07470514,0.06316019,0.05713103,0.04936293,0.034980938,0.01986409,0.013427277,0.003129715
0.9752865,0.962301,0.95723546,0.9487986,0.9461129,0.9448941,0.942065,0.9390283,0.93703824,0.9342722,0.9333826,0.93189025,0.9292188,0.9272465,0.9254268,0.9250051,0.9225793,0.9211412,0.91919684,0.91776824,0.916933,0.91495615,0.91334325,0.9105988,0.90944356,0.9071961,0.90554166,0.90176857,0.9014844,0.90017045,0.8982579,0.89792126,0.8964447,0.8936954,0.89208215,0.8897787,0.88740563,0.88585556,0.8853782,0.88273257,0.881608,0.8802412,0.8777224,0.8764351,0.87397,0.87139124,0.870671,0.8672009,0.8661572,0.8638055,0.85939187,0.85831064,0.8571847,0.8537664,0.84870046,0.8454846,0.8424956,0.84211904,0.83774537,0.8354459,0.83439535,0.83148634,0.82568574,0.8250451,0.8208179,0.81835324,0.8140428,0.8121694,0.80879915,0.80440694,0.8019735,0.7977443,0.7919859,0.78911823,0.78351504,0.78061086,0.7780961,0.773222,0.7691945,0.7619495,0.7581275,0.7531851,0.7475994,0.7451897,0.7375895,0.73382604,0.728162,0.72495735,0.7210243,0.71679157,0.71226215,0.705585,0.69715166,0.6889587,0.68192476,0.6735606,0.6636564,0.6567931,0.6469556,0.6417913,0.63804585,0.62435484,0.6197557,0.61589366,0.6095594,0.59782624,0.58936423,0.57645947,0.5737723,0.5671696,0.55220383,0.54072976,0.53186506,0.5128659,0.5041593,0.49893272,0.49068037,0.4847912,0.46220016,0.4497424,0.44101065,0.42631525,0.41831517,0.40558088,0.39893156,0.39411494,0.37932593,0.37294012,0.35262358,0.3487616,0.3436938,0.32177025,0.31832823,0.31453577,0.28916758,0.2679263,0.26562956,0.2562381,0.2465659,0.23665729,0.22522873,0.20576043,0.19688085,0.18575716,0.17810069,0.15854913,0.1454516,0.12960382,0.12853271,0.11051563,0.106674805,0.09647964,0.08485728,0.07590781,0.07232897,0.04768324,0.03849693,0.013962082,0.009823503,0.0009877008
0.96626127,0.96146554,0.94995946,0.9488014,0.9441272,0.93843764,0.92945,0.9289916,0.92556113,0.92251825,0.9214966,0.919145,0.91620314,0.9130806,0.91140056,0.90719336,0.903536,0.90229404,0.89985347,0.8990439,0.8977549,0.8966504,0.8952785,0.89282066,0.89221656,0.89028174,0.88721305,0.8850827,0.88053006,0.87903136,0.8764353,0.8741633,0.87235385,0.8696121,0.8687301,0.86637765,0.86392415,0.8613617,0.8593295,0.85792464,0.8552896,0.8542277,0.85165524,0.85111254,0.849507,0.8482819,0.84673333,0.84396863,0.84113634,0.83841723,0.83601683,0.83369917,0.8320615,0.8283707,0.8259834,0.8237469,0.82092935,0.8164306,0.8138994,0.81157666,0.8086767,0.8050741,0.80295014,0.8004579,0.797989,0.79425997,0.78940123,0.7862409,0.78075314,0.7781714,0.7710324,0.7696399,0.7685605,0.7659403,0.76504415,0.758343,0.75566876,0.7502477,0.7492545,0.7445462,0.73892534,0.7351393,0.732014,0.72804993,0.7244644,0.7224507,0.71642375,0.7112472,0.7066029,0.6980612,0.6906835,0.6834226,0.6799253,0.676179,0.67235607,0.6555337,0.6505847,0.6456273,0.632755,0.6203994,0.61517245,0.60669315,0.6040376,0.59808004,0.59105414,0.5804908,0.5748099,0.5712361,0.55904526,0.5569053,0.54942924,0.5375956,0.5341113,0.5223749,0.5124333,0.5062629,0.4998445,0.4834077,0.47491312,0.46911272,0.45432228,0.4435736,0.43202966,0.42571357,0.41375613,0.41079754,0.3992517,0.39436412,0.3764273,0.3676442,0.35577095,0.34215325,0.33391768,0.31472677,0.30819523,0.29318213,0.2791225,0.27568665,0.26194015,0.24889493,0.2299876,0.21789618,0.2081206,0.19221014,0.18676217,0.16984026,0.15456182,0.15126377,0.13560103,0.12982897,0.1116159,0.09917399,0.08683726,0.06806488,0.05860024,0.05206049,0.05001123,0.022335213,0.012587531,0.0007341793
0.95824164,0.9472091,0.93562394,0.9318365,0.92416155,0.91639376,0.91468036,0.91227376,0.9103741,0.9053938,0.90060353,0.89923567,0.89811456,0.8946116,0.8924174,0.8890612,0.88712364,0.8851972,0.88441414,0.88250905,0.8786033,0.8775401,0.8768898,0.8719894,0.870194,0.8654411,0.86471367,0.8608465,0.8585073,0.85662746,0.85412395,0.8530124,0.8527416,0.84869426,0.8474925,0.84579384,0.8423561,0.8420049,0.8398205,0.83737373,0.8365725,0.83531827,0.83362806,0.83329064,0.8240845,0.82376546,0.819023,0.81776196,0.81730676,0.81153053,0.80953145,0.8063458,0.8050833,0.80374306,0.79953235,0.7982314,0.7920018,0.7904346,0.78484637,0.7837857,0.7779327,0.7766329,0.774311,0.7681221,0.76727813,0.76225203,0.7607495,0.7593681,0.7553004,0.74980426,0.7484918,0.7437658,0.74184954,0.74049187,0.7304246,0.7301138,0.7229569,0.7217468,0.71569186,0.7088026,0.7006899,0.7004803,0.69483936,0.68933207,0.6826368,0.68050367,0.67396444,0.66964805,0.6669462,0.6620364,0.65652734,0.65362173,0.6490159,0.6354445,0.6327124,0.62573016,0.6175024,0.6170929,0.6140767,0.60642004,0.5972819,0.5967006,0.5863218,0.57607746,0.56706715,0.5657649,0.5586007,0.5484911,0.5388205,0.5372837,0.53464925,0.5200989,0.50459504,0.5010303,0.49522135,0.4903324,0.47072732,0.4703846,0.45426488,0.4452864,0.44064328,0.42004865,0.41658455,0.40099114,0.38935557,0.38259107,0.37263522,0.35053492,0.34948632,0.33913538,0.3320882,0.3223327,0.31268853,0.2985908,0.28236875,0.27495396,0.2661817,0.25483224,0.23865601,0.23849113,0.22504234,0.21014364,0.1948643,0.1881445,0.18193683,0.17059349,0.15702264,0.14503981,0.1369577,0.13196947,0.12575293,0.11709982,0.084481515,0.08034743,0.054290887,0.048128195,0.030419622,0.01956528,0.015198282,0.0042926413
0.94204277,0.930981,0.9165888,0.91167283,0.9100225,0.9065797,0.90028435,0.8969855,0.8950534,0.89103305,0.88624835,0.88481194,0.88023496,0.87883794,0.8762276,0.8755017,0.87014186,0.8686637,0.86692595,0.86604846,0.8620832,0.86007774,0.85822463,0.8553715,0.8541294,0.84881115,0.8482632,0.845613,0.84354466,0.8430305,0.84061414,0.8379673,0.8349373,0.8324469,0.83024293,0.82728875,0.8230495,0.8217852,0.8208943,0.81917936,0.8184848,0.8141113,0.81347555,0.8109776,0.8073979,0.8059805,0.8043011,0.80208844,0.80078936,0.7980326,0.79170734,0.78984076,0.78762597,0.7825848,0.7801376,0.77886415,0.7705502,0.76825917,0.767057,0.76612025,0.7636974,0.7596394,0.7542779,0.7497775,0.7464901,0.7431918,0.7427874,0.73865473,0.7356922,0.7338748,0.72766316,0.72186065,0.7208074,0.71945965,0.71452975,0.70830894,0.7012922,0.70086014,0.69620883,0.69198495,0.6878981,0.6839828,0.6755821,0.6703356,0.6669869,0.6606798,0.65873665,0.6528198,0.6521738,0.6384537,0.6342305,0.62945163,0.6244547,0.61910766,0.61062795,0.60769814,0.60036653,0.5925889,0.5864934,0.57423824,0.5730231,0.56003356,0.55478716,0.5440342,0.5310004,0.52825993,0.52203315,0.5164038,0.50973463,0.4966244,0.492965,0.48521873,0.48046702,0.47206125,0.46595514,0.46054202,0.4457604,0.43591276,0.43285695,0.4167587,0.40960953,0.39400938,0.38679686,0.3745857,0.35366577,0.3456301,0.33860698,0.33231643,0.32236737,0.30608472,0.2997494,0.2882864,0.286278,0.27364424,0.25668195,0.24469396,0.23583195,0.22751887,0.21462926,0.20912734,0.19870938,0.19031246,0.18453541,0.17539424,0.16631533,0.15572196,0.14081115,0.12375893,0.10935813,0.101383425,0.09574617,0.08702339,0.07416122,0.06244838,0.049420092,0.04665687,0.040833242,0.028784547,0.023496598,0.006655061
