0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9993264,0.9989028,0.99863356,0.99806446,0.9973178,0.9970099,0.9968487,0.9962974,0.99616736,0.9957996,0.994922,0.99482083,0.9944797,0.99336433,0.9922761,0.9918728,0.98798716,0.98755574,0.986181,0.98424864,0.98039794,0.97647864,0.970886,0.9609114,0.95342934,0.94364715,0.9362662,0.9293889,0.91916025,0.88959783,0.8658285,0.8298735,0.7627145,0.675881,0.59902066,0.4340167,0.34411097,0.18518744,0.14825414,0.012414656
0.9884693,0.98597133,0.9852932,0.9824378,0.9805182,0.9779429,0.97567815,0.9709799,0.96755445,0.96515083,0.96214527,0.9561498,0.95280325,0.9426646,0.9252911,0.89919204,0.88549954,0.8610476,0.82701445,0.7914039,0.75915515,0.7507453,0.7269508,0.67522466,0.5707164,0.5574008,0.5009787,0.4582305,0.4348578,0.3965919,0.32740653,0.31905988,0.2761389,0.2034817,0.13972023,0.13622802,0.112881,0.08634533,0.046844807,0.013810689
0.9752688,0.9695066,0.9659316,0.95784503,0.9520403,0.9413744,0.93527335,0.926727,0.9236702,0.9122969,0.9103865,0.88838106,0.86021334,0.83417434,0.81969804,0.7614282,0.73741484,0.66548806,0.66236055,0.6361212,0.5733734,0.5172462,0.45721668,0.44509095,0.3633742,0.33591518,0.31510523,0.28936514,0.2675472,0.24605897,0.20887464,0.18227598,0.14403787,0.13417968,0.10218919,0.096651785,0.07642862,0.04444202,0.032803755,0.008797642
0.96215355,0.94918907,0.9487305,0.9331478,0.9264871,0.9212151,0.91622907,0.9141988,0.9084975,0.9019354,0.88385624,0.8636877,0.83859164,0.8307669,0.8101557,0.77421814,0.7551858,0.7474918,0.7167925,0.6520817,0.6486138,0.56670785,0.5394762,0.5086883,0.4409589,0.40759668,0.37987763,0.37022293,0.32911652,0.29163066,0.26090163,0.2117124,0.19488724,0.14905278,0.14282624,0.11232267,0.07328196,0.048460077,0.043642294,0.019582946
0.9405425,0.93092626,0.91895443,0.9105239,0.9053829,0.8912265,0.88459414,0.8674155,0.86498415,0.8523177,0.84862673,0.8406934,0.82902205,0.8135773,0.8088066,0.76645553,0.75528675,0.73651683,0.72964823,0.71201444,0.6636482,0.6460869,0.62227744,0.57685375,0.5515757,0.48682034,0.428049,0.38582477,0.34485385,0.32622188,0.30684257,0.2674525,0.23587757,0.1747677,0.14452821,0.12579119,0.0992953,0.07882848,0.026889984,0.0128187295
0.9266649,0.919117,0.9138352,0.90304476,0.89050233,0.88490504,0.8777158,0.87483984,0.862977,0.85760367,0.83953995,0.8322426,0.8206512,0.8160736,0.80802107,0.80511683,0.77742416,0.7604803,0.7439055,0.7322433,0.70509905,0.68148154,0.6520068,0.60699016,0.58550054,0.5418929,0.5194697,0.48090532,0.47140035,0.39072216,0.340414,0.30423135,0.27950647,0.23204054,0.19567336,0.17222022,0.12689875,0.10813666,0.04634089,0.02123138
0.94040155,0.9075952,0.88524234,0.87758046,0.87079287,0.86401427,0.85430586,0.85049117,0.83764553,0.8344534,0.827825,0.81995875,0.80566245,0.80013615,0.7850095,0.7743572,0.7644717,0.75661707,0.7393864,0.72897106,0.70996493,0.68041337,0.6459812,0.6253473,0.59236205,0.5489638,0.5278314,0.51107067,0.47680202,0.45524088,0.40476078,0.3674804,0.31207472,0.29420674,0.17129798,0.14719464,0.13647465,0.06384249,0.045583352,0.019690763
0.90450174,0.9000464,0.882307,0.8670397,0.84637064,0.8364358,0.83018327,0.82351863,0.8141902,0.8050492,0.7998571,0.7834497,0.77653795,0.7631501,0.7518593,0.734675,0.73049235,0.70971835,0.68623275,0.6798931,0.655982,0.6360462,0.6294849,0.59343874,0.54097974,0.53061837,0.47097856,0.46375036,0.42134076,0.40996882,0.35495174,0.33757493,0.28239313,0.24174906,0.21658735,0.18370202,0.13984205,0.08848807,0.044125073,0.0055042817
0.8897755,0.85947436,0.84099346,0.83701694,0.8253064,0.821463,0.8076196,0.7980915,0.79589236,0.7777896,0.77188575,0.76793265,0.75703377,0.74647635,0.7299214,0.7251067,0.7084299,0.6950839,0.6763328,0.6718874,0.65662706,0.6321381,0.5961523,0.5702023,0.5267972,0.49979815,0.47645304,0.43116182,0.41542307,0.38891634,0.3330358,0.29704368,0.28466237,0.24307267,0.20182928,0.17852835,0.11969925,0.098124325,0.036288347,0.0040087113
