layer,eff_rank_img,eff_rank_no,k90_img,k90_no
0,0.0,0.0,1,1
1,10.880493736643974,7.853617190933607,57,33
2,10.033130075365783,9.546695058066625,69,54
3,8.532928982980685,13.649609630333426,80,81
4,12.242158627570612,10.583832278648162,88,72
5,12.800879055694063,8.941310941271706,100,75
6,12.404750681189782,8.858016779496609,90,67
7,10.35146499667364,7.1929210107526025,79,54
8,10.487687293456766,7.676388323881619,81,59
9,10.649116276038411,8.75833396073449,93,79
10,10.328502782724083,9.387321931830817,90,87
11,11.117827501242118,11.10067340309139,106,107
12,11.274016731571672,10.455835888819335,100,97
13,9.81079734217739,9.937597129307685,83,88
14,8.499975445652712,8.624102235681393,74,77
15,7.88102940039083,8.99864437858986,73,82
16,7.127354574514941,8.929198815104476,71,80
17,6.907140872131138,9.105181114477785,81,92
18,6.416471172906309,8.581980038611997,82,88
19,6.478724904147789,8.237107854602355,79,86
20,6.971046984733177,8.55463606693519,83,89
21,6.997086189692291,8.587221707536372,85,87
22,7.025554198886143,7.930091244203703,86,79
23,7.203709613127721,8.543741225616238,92,82
24,6.993395416836078,8.012172243559473,84,74
25,8.545729270943822,9.33996833584519,75,72
26,8.304251752194206,8.071738925087963,72,63
27,8.142948828612665,7.267713120326791,71,59
28,8.975811017758538,8.037290883972512,79,65
29,9.52958636505588,7.930449742962304,86,67
30,10.24649293458439,7.982571335892279,100,73
31,11.10603093650626,8.548765636745001,112,81
32,11.634684075915235,8.994748111207143,127,91
33,11.40977319100147,9.44842433761704,139,102
34,12.66140642740518,10.395938838325424,162,118
35,13.097784637307354,10.301165250941397,178,129
36,13.846818915825445,8.883596164790578,170,121
