0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13135353,0.21209796,0.29231328,0.31979784,0.35208932,0.36942506,0.38821748,0.4054306,0.41696253,0.42389366,0.44997972,0.4605298,0.47032246,0.4816018,0.48869362,0.49323067,0.49863994,0.50599974,0.512983,0.5204193,0.5327758,0.5370803,0.5403958,0.5439927,0.550275,0.55317324,0.55600584,0.5605313,0.5639253,0.5679099,0.57230556,0.5745725,0.5770272,0.5802719,0.5833302,0.5857615,0.589775,0.5920837,0.5944555,0.59637666,0.59876424,0.6008797,0.6025254,0.60469145,0.60641086,0.60808307,0.61100584,0.6131592,0.6150275,0.6164556,0.61847824,0.62071925,0.62216556,0.6236994,0.6257192,0.62763196,0.62902933,0.6307955,0.63212866,0.6337767,0.6347803,0.63677555,0.6390932,0.6401182,0.6410425,0.6424276,0.64411545,0.645214,0.64596546,0.6469924,0.64804053,0.6496665,0.65058184,0.65189856,0.6532158,0.6537804,0.655375,0.6562584,0.65728605,0.6583677,0.6595685,0.6608009,0.66225696,0.66413975,0.66530174,0.6662976,0.6673833,0.6684969,0.66933686,0.67062,0.67218465,0.6740695,0.6750955,0.6761067,0.67714196,0.6778712,0.67886615,0.67947847,0.67997754,0.6813082
0.08359965,0.14570619,0.18353681,0.21029928,0.23397112,0.24873185,0.2629781,0.27335247,0.28928667,0.29905736,0.3059534,0.3206734,0.3351872,0.34092632,0.34615064,0.3525855,0.35730174,0.36202675,0.36983654,0.3805611,0.3871786,0.39100787,0.3945365,0.3995988,0.40293512,0.40785393,0.41311392,0.415842,0.41976202,0.42298242,0.42561367,0.4289475,0.4311791,0.4340348,0.4357737,0.44032782,0.44210428,0.44419894,0.4475813,0.44914266,0.45078546,0.4541664,0.45648766,0.45943487,0.46117207,0.46331453,0.46482965,0.4677456,0.46901944,0.4706579,0.47243318,0.47520965,0.47721228,0.47854334,0.48031497,0.48202282,0.48310125,0.48518938,0.48670965,0.48911354,0.4907903,0.49214357,0.4938115,0.4957058,0.49859726,0.49997902,0.50291395,0.5048129,0.50608885,0.5079514,0.5095322,0.5113571,0.5125935,0.51382434,0.5150056,0.5193303,0.521671,0.52298933,0.5238397,0.52458626,0.5268295,0.5301152,0.53108543,0.5329575,0.53401333,0.5348782,0.535962,0.53732395,0.5382776,0.5392258,0.54022545,0.5419217,0.54270184,0.54403687,0.54642993,0.5473776,0.5484038,0.5506168,0.5519136,0.5532313
0.07887069,0.115111895,0.15135325,0.17412676,0.17821898,0.19007966,0.2018941,0.21606565,0.22362027,0.23052613,0.23615208,0.24450819,0.25024295,0.25916848,0.2681562,0.27897844,0.28306678,0.2870634,0.29045373,0.30081683,0.30440584,0.30934307,0.31214944,0.31696054,0.32024327,0.3226165,0.32753617,0.3304184,0.33312178,0.3354199,0.33996192,0.3434072,0.34618974,0.3483962,0.35058552,0.35250908,0.35693824,0.36050478,0.36264208,0.36394328,0.3657006,0.3682539,0.36973435,0.37133408,0.3736544,0.37523508,0.3774671,0.380574,0.38180235,0.38301322,0.38487914,0.3876927,0.39002907,0.3926842,0.39466035,0.39619824,0.39794087,0.39924797,0.40081525,0.40358517,0.40480348,0.40829402,0.40933537,0.41057485,0.4117001,0.41369867,0.41462913,0.4156566,0.41660577,0.41784722,0.41902757,0.4205992,0.42211193,0.42338693,0.4246704,0.42558885,0.42689148,0.42818403,0.42944244,0.43141377,0.43231878,0.43337956,0.4360315,0.43733883,0.43944332,0.44077942,0.44201192,0.44336832,0.4447814,0.44585463,0.4468615,0.44913414,0.45093513,0.45205736,0.45350534,0.45499918,0.45617658,0.45710468,0.4584153,0.46022207
0.03602989,0.09233272,0.14737996,0.16999677,0.20209812,0.22524919,0.23795101,0.2537152,0.26345605,0.2735358,0.28619975,0.30000478,0.30887997,0.31719786,0.32489416,0.3319272,0.33599618,0.34044415,0.34523228,0.34969324,0.35705724,0.36185995,0.3660678,0.37011895,0.37445003,0.3772139,0.38071802,0.38395223,0.38828832,0.39199027,0.39468446,0.39789808,0.40126145,0.4060149,0.40852207,0.4103728,0.41298372,0.41468275,0.4166978,0.42104182,0.42331654,0.42502436,0.42808545,0.43067604,0.434619,0.43768272,0.44033742,0.44267944,0.44437003,0.44659925,0.44789064,0.44947886,0.45065078,0.45196655,0.45324072,0.45451778,0.45783705,0.46070337,0.46326774,0.46470907,0.46617916,0.46755543,0.46962047,0.4710383,0.47399905,0.47528103,0.47625765,0.47734597,0.47836262,0.4796139,0.48239467,0.48353067,0.48485005,0.48766643,0.4889665,0.49001563,0.49117184,0.49222335,0.4935348,0.4944761,0.49542317,0.49658686,0.49749163,0.4990246,0.4999642,0.5009333,0.5032166,0.5046395,0.506118,0.50761056,0.5087761,0.5100542,0.5110981,0.5126224,0.5137879,0.5144964,0.51539874,0.51637655,0.5174719,0.5188013
0.08540056,0.11179282,0.15447447,0.18873163,0.206219,0.22459775,0.24400994,0.26240626,0.2711933,0.2823604,0.29242733,0.30416575,0.30915532,0.31494004,0.32262555,0.32697827,0.32992303,0.3360293,0.33929476,0.34546724,0.34881243,0.3517607,0.35565466,0.3601828,0.36444023,0.36911651,0.3726921,0.37548074,0.378078,0.3815643,0.38392562,0.3862807,0.3888379,0.39112264,0.39409903,0.39690042,0.39959127,0.40297937,0.40546775,0.40788805,0.40956464,0.4124724,0.415717,0.41759413,0.4194931,0.42166063,0.4238974,0.42748913,0.4292665,0.43117958,0.43266365,0.43522176,0.43668523,0.43850905,0.44038254,0.44251826,0.4447452,0.4467271,0.44786084,0.44934493,0.450822,0.4523797,0.45598924,0.45826894,0.46021676,0.4615936,0.46283236,0.46374348,0.46581984,0.46741432,0.46903843,0.47061622,0.47188517,0.47290048,0.47431707,0.4761736,0.47783664,0.47884294,0.47997084,0.4810395,0.48227364,0.4843235,0.48523033,0.48694408,0.48803097,0.4896427,0.49052715,0.49161685,0.49245688,0.49338838,0.49443382,0.49651662,0.49732557,0.49890348,0.50022227,0.50118285,0.50200886,0.5033909,0.5048957,0.506262
0.11307639,0.15637931,0.19173786,0.22574066,0.25233,0.27189142,0.2923114,0.30602562,0.3213338,0.33291605,0.33987057,0.35262856,0.36051852,0.3664799,0.37193924,0.3756106,0.37867275,0.38356137,0.38835922,0.39257154,0.39715257,0.40090582,0.40504345,0.4075289,0.41078523,0.4159261,0.41937122,0.4233984,0.42915225,0.43204382,0.43561706,0.4387518,0.44140893,0.443843,0.44723305,0.44980478,0.4518663,0.45437884,0.4582161,0.4597292,0.46158102,0.4637005,0.4665478,0.46969035,0.47181857,0.47376117,0.4758436,0.47814247,0.47989702,0.48173302,0.4838554,0.48564357,0.48786345,0.4901938,0.49129882,0.49256656,0.49379882,0.4950407,0.49652913,0.49798515,0.50024843,0.50210255,0.5030157,0.50417525,0.5056395,0.5074069,0.50887614,0.5106361,0.5137267,0.51464015,0.5167902,0.517808,0.5193617,0.520613,0.5218311,0.52284986,0.52436125,0.52609193,0.5271041,0.5284293,0.52972966,0.5310398,0.5322671,0.53315806,0.5349162,0.5357503,0.5369481,0.53817993,0.53934056,0.5405067,0.541619,0.5439793,0.54579407,0.54703104,0.5483425,0.5498365,0.55100626,0.55224323,0.5535398,0.55444324
0.14616351,0.19117796,0.2569648,0.29778394,0.31957605,0.34062648,0.36476135,0.3819195,0.3957396,0.4059405,0.41273072,0.42101777,0.4292593,0.43422312,0.43843776,0.4422203,0.44753617,0.45018488,0.4550858,0.4584006,0.46123615,0.4666647,0.47056928,0.4735839,0.47713903,0.48072633,0.48312512,0.486135,0.48886552,0.4924441,0.49522105,0.49840105,0.50373363,0.5068901,0.50996566,0.5147447,0.5164498,0.5201022,0.52204996,0.5240315,0.5257354,0.5269695,0.52861166,0.5302923,0.5327916,0.5344122,0.53589714,0.5376026,0.54036343,0.5435832,0.54507023,0.54682726,0.5487244,0.5499049,0.55143934,0.55323774,0.55465335,0.55616164,0.5576336,0.5589502,0.56043404,0.5622676,0.56345916,0.5647128,0.5660086,0.56707394,0.5691459,0.5704203,0.5719061,0.57285595,0.5742764,0.575607,0.57648635,0.5780636,0.5795016,0.5805838,0.5814252,0.58306634,0.58408356,0.5851029,0.5862128,0.58720106,0.58814216,0.58908296,0.5900446,0.5912327,0.592593,0.59361887,0.59479386,0.5953659,0.59621114,0.59725016,0.5980708,0.5989939,0.5996328,0.60082376,0.6019296,0.6027015,0.6035382,0.60439223
0.1287828,0.17630953,0.22177008,0.2586495,0.28115323,0.30269656,0.32554182,0.34152353,0.35445407,0.36316305,0.36864138,0.3765107,0.38826284,0.39285904,0.40252003,0.40856266,0.41368437,0.42072397,0.42369285,0.42754892,0.4304686,0.4349791,0.438354,0.44127882,0.4442861,0.44811645,0.4526523,0.45543504,0.45744997,0.46056068,0.46410856,0.46850502,0.4709437,0.47341362,0.47526023,0.47751263,0.48049963,0.4841495,0.4869163,0.48842788,0.491232,0.49413875,0.49606994,0.4976793,0.49896345,0.5020721,0.50405425,0.5059024,0.5079975,0.5092797,0.51208735,0.5148751,0.5169932,0.51904225,0.5209025,0.5223046,0.5234785,0.5249465,0.5280136,0.5294639,0.53041524,0.53216046,0.5337955,0.53586817,0.536904,0.538205,0.5395366,0.54218465,0.54337674,0.5452254,0.546095,0.5469755,0.54799867,0.54958737,0.55079967,0.5523053,0.5531678,0.5540443,0.5550363,0.55657685,0.5576284,0.55861944,0.5600518,0.56096894,0.5618569,0.5630827,0.5640236,0.56476164,0.56628364,0.56710917,0.5683061,0.5695664,0.5706635,0.57176703,0.5724811,0.5744212,0.5757896,0.57670707,0.57748723,0.57824427
0.122435294,0.16983742,0.21141484,0.24195345,0.2636092,0.27998382,0.3012749,0.31410742,0.32495138,0.33300656,0.34006444,0.34759673,0.35283098,0.3598313,0.36467078,0.37321624,0.37920687,0.38242182,0.3934258,0.39747986,0.40336016,0.4070316,0.4101824,0.4130101,0.41757107,0.42028245,0.42212975,0.4256971,0.42865586,0.43029383,0.43296516,0.43519315,0.43693382,0.43997738,0.44264513,0.44461086,0.44632447,0.44798604,0.44977668,0.45185015,0.45581856,0.45705998,0.4600146,0.4622318,0.46359476,0.4650707,0.46748918,0.4690419,0.47026235,0.47145072,0.4729632,0.47474158,0.47669473,0.4786914,0.48017892,0.48264965,0.48372376,0.4865887,0.48786402,0.4898924,0.49248567,0.4937293,0.4959353,0.4970166,0.49781218,0.4995643,0.50075126,0.50224185,0.50465995,0.5065581,0.50865394,0.50965136,0.5107323,0.5120918,0.5128416,0.51399523,0.51506335,0.5159057,0.51705736,0.51887476,0.519683,0.52052504,0.5216296,0.5231505,0.52398115,0.52566004,0.5269176,0.5278367,0.5291237,0.5303003,0.5317035,0.5325156,0.53351504,0.5343109,0.53543645,0.53693414,0.5383379,0.53955495,0.5405064,0.54183245
