layer,eff_rank_img,eff_rank_no,k90_img,k90_no
0,0.0,0.0,1,1
1,6.442734286845351,8.914906530112953,39,47
2,5.942798254093775,7.619654015428937,41,52
3,6.838789793307602,9.472552275030987,54,65
4,7.7510678293619515,10.380706399979852,58,70
5,7.544403936478546,10.732845883619937,54,64
6,7.719133911515787,10.3976721749364,57,65
7,7.871267601932488,9.44739717050295,55,59
8,8.004983208765626,8.930041707092471,65,70
9,7.925477918845163,8.06290561837844,67,68
10,7.861581759345174,7.8836867219691635,74,73
11,7.23735040421958,7.2923116654702245,71,68
12,6.83568474373902,6.7737897510534255,68,62
13,7.380130553760714,6.15421432771811,78,60
14,7.285815381021903,6.2777075590755365,78,59
15,6.869184403909792,6.0715001841517715,79,60
16,8.756638989186674,7.994397522454581,98,83
17,8.428726291268456,7.766900095796493,95,78
18,7.804323463801859,7.900805046151976,89,72
19,7.579232374169107,8.445414014173894,73,65
20,7.314097908930203,8.685415869861624,64,59
21,6.844183594582526,7.966149944845332,54,49
22,6.516820062776873,7.345434726123345,51,48
23,6.871570456447066,7.598427919972652,56,50
24,7.102154534534522,8.265421371515364,62,57
25,7.645182645332277,8.89360502271774,73,66
26,8.162313904454841,9.602792899974151,85,78
27,9.356941775667027,10.080279378040052,97,88
28,9.521108281053838,10.702329898673069,99,94
