0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.99823254,0.99744844,0.99293405,0.9914161,0.98985016,0.9808778,0.9769036,0.97175413,0.9665313,0.9628876,0.9548901,0.95248246,0.9392116,0.9312629,0.9158083,0.8282724,0.78163236,0.6208416,0.36850876,0.32408702
0.99802583,0.9959248,0.9931717,0.9917888,0.98843086,0.9837329,0.9811382,0.9781074,0.9741837,0.96873695,0.9642884,0.9627811,0.9501264,0.9268528,0.9217516,0.884043,0.8489329,0.8132721,0.52945834,0.31809816
0.9925588,0.99028575,0.9887848,0.98509574,0.9832364,0.9765106,0.97534496,0.9738869,0.9652495,0.9599356,0.9584752,0.9419344,0.9271859,0.9234654,0.91520935,0.8875161,0.831144,0.77454805,0.65772593,0.059939507
0.98855543,0.9869878,0.9833353,0.9825935,0.9751571,0.96911806,0.96572536,0.95864266,0.95383185,0.9492257,0.94015926,0.93167377,0.9171016,0.89029765,0.8806537,0.86639553,0.8103091,0.7259146,0.6604042,0.5036092
0.9873798,0.9820684,0.9807601,0.97338843,0.96606565,0.9645334,0.9619499,0.95705116,0.9544076,0.949409,0.9425285,0.9259336,0.918543,0.9007612,0.8897664,0.8438132,0.82027775,0.7840268,0.64569205,0.31220275
0.9820815,0.97701216,0.96971667,0.967597,0.9594416,0.9512711,0.9486116,0.9397395,0.93496287,0.92902833,0.91809845,0.9075422,0.8746783,0.84853566,0.8101076,0.7919977,0.75448453,0.651856,0.48067102,0.021834282
0.9829262,0.9706756,0.9669048,0.9599296,0.95771307,0.9491956,0.9387201,0.93771,0.9313044,0.91989535,0.9188972,0.8980042,0.8763411,0.84420246,0.8365869,0.7906296,0.75287116,0.65600586,0.63263786,0.042014275
0.98337126,0.97749776,0.9645971,0.96148556,0.9530828,0.94196874,0.9395,0.9328596,0.9245992,0.9153276,0.90938145,0.88857377,0.8787859,0.86263174,0.8218259,0.75605416,0.75408334,0.6949751,0.51987636,0.27607572
0.9756977,0.9644455,0.956514,0.94874156,0.94318837,0.94121057,0.93225,0.9210471,0.9193461,0.90970516,0.8910837,0.8798013,0.8748906,0.8475742,0.8146453,0.76556295,0.7084187,0.6131938,0.4030851,0.050985105
0.9735361,0.9573004,0.94194716,0.9372829,0.93657625,0.9289183,0.9247344,0.9169921,0.9053222,0.90017587,0.8863704,0.8723024,0.86539114,0.8387671,0.82119566,0.79660827,0.7051274,0.61146903,0.39590254,0.06337217
0.9761998,0.9475444,0.9435093,0.9395753,0.9332665,0.92576945,0.92366266,0.919208,0.90569913,0.9005137,0.89267725,0.87802243,0.8564403,0.836377,0.817653,0.7906419,0.7225091,0.58984894,0.3421028,0.16162945
0.97217786,0.9438357,0.9335382,0.9330663,0.9224731,0.91721404,0.91405,0.90984076,0.89033926,0.8861507,0.8804754,0.8519141,0.8298376,0.8200801,0.7697857,0.7328169,0.6990637,0.48037383,0.40848118,0.0095563885
0.97222686,0.95530295,0.93894863,0.925348,0.92186487,0.9122102,0.90763414,0.9016349,0.88730353,0.8824223,0.8756553,0.85799235,0.810972,0.7935092,0.7465111,0.70393205,0.6508156,0.46547753,0.26304397,0.15419759
0.96312267,0.95759976,0.9497311,0.946685,0.93793046,0.93006223,0.9143056,0.9068534,0.90245456,0.89317954,0.8738748,0.85959303,0.8364848,0.82059926,0.8061767,0.733305,0.723301,0.5104369,0.34398273,0.06506282
0.9817588,0.9725148,0.96523005,0.9510123,0.94792175,0.940525,0.9340375,0.9260765,0.92067814,0.8988653,0.89595807,0.869336,0.8613766,0.8437159,0.80737966,0.7387577,0.7310436,0.6791544,0.47034168,0.2632808
0.9790266,0.97039145,0.9679337,0.95943075,0.9563307,0.9507825,0.94078135,0.93282473,0.9202154,0.91462564,0.90529424,0.8941223,0.8810601,0.8685047,0.8503733,0.7825211,0.69506615,0.67480016,0.5737116,0.27450672
0.9819478,0.9739202,0.96720237,0.9599886,0.95820796,0.9511111,0.94469744,0.9377541,0.93448466,0.9266932,0.9186178,0.91083413,0.900859,0.89040554,0.8630399,0.81647974,0.7838221,0.71807796,0.6678773,0.43018162
0.9730093,0.9689489,0.95941985,0.9548932,0.9478958,0.94612044,0.9389197,0.93598026,0.93024963,0.92532754,0.9211237,0.8932293,0.8768722,0.8734211,0.85970217,0.80354327,0.71585244,0.68150806,0.67230934,0.5472435
0.97864974,0.9661836,0.9581477,0.95056343,0.9412496,0.93649954,0.9325227,0.92455715,0.9196334,0.91678226,0.9040783,0.8748188,0.8702061,0.8546699,0.8368323,0.7992576,0.7224949,0.63370746,0.55479616,0.3660129
0.9767723,0.9705991,0.9594326,0.9548358,0.94712317,0.9417685,0.9298131,0.9265902,0.91763157,0.90999436,0.89350814,0.8846405,0.8785765,0.8427884,0.81884986,0.80402404,0.7258279,0.6686689,0.49389952,0.22540134
0.978009,0.96860445,0.9585206,0.9488662,0.94209385,0.9386963,0.93571615,0.9211942,0.91666067,0.90353376,0.8994218,0.8952992,0.8805066,0.85119224,0.8146911,0.78364,0.723537,0.6819268,0.48165542,0.14564337
0.96949226,0.9661153,0.95307463,0.94459397,0.9376371,0.9352212,0.93036103,0.92476636,0.9182613,0.90477085,0.9006495,0.8887705,0.85867906,0.8520089,0.83819866,0.8142704,0.777418,0.6658406,0.48901004,0.27243474
0.9711838,0.96596265,0.95472157,0.9489298,0.94058174,0.93958014,0.92084527,0.9180246,0.91743004,0.90879154,0.9010132,0.8869482,0.8741416,0.83768696,0.83335763,0.80579245,0.78752166,0.6270908,0.51595443,0.124195516
0.96500784,0.96354747,0.9582718,0.95304006,0.9393099,0.9333213,0.91819423,0.91288537,0.9060324,0.8987638,0.8971865,0.8817119,0.8741233,0.83628553,0.8154972,0.7809198,0.74180055,0.6202002,0.5727087,0.07052691
0.9678508,0.96222687,0.95512193,0.9487288,0.94224066,0.9342249,0.9152092,0.91110176,0.90510225,0.8981508,0.8854279,0.87180716,0.8375042,0.8105966,0.8032902,0.7561673,0.6941549,0.6047128,0.5298748,0.035005193
0.9710868,0.96338767,0.95503926,0.9507184,0.940354,0.9349834,0.918246,0.9079957,0.89793056,0.8955266,0.87262934,0.85858935,0.84967506,0.81510544,0.79805404,0.763544,0.667706,0.60036945,0.5803941,0.00686298
0.96786714,0.96505064,0.9521386,0.94726497,0.9409994,0.93175286,0.9216099,0.9051711,0.8986597,0.8921839,0.8857828,0.85409594,0.8370319,0.8140669,0.77091193,0.7632169,0.67454344,0.58952373,0.39480734,0.12872154
0.9710454,0.965803,0.9531893,0.9510037,0.9399596,0.9281701,0.9193955,0.9073904,0.89723104,0.8915485,0.8731455,0.86242926,0.85961896,0.79168487,0.7906489,0.7752691,0.6660179,0.5382804,0.35481817,0.017594656
0.97165674,0.9584685,0.95321107,0.94842124,0.93507516,0.92807686,0.915272,0.9090921,0.9031574,0.8856539,0.87760985,0.8648123,0.8561091,0.83433926,0.80799645,0.77718073,0.6863142,0.60568875,0.53849036,0.10118885
0.9685379,0.95640767,0.95003253,0.9443439,0.93585217,0.92979145,0.9123772,0.9075949,0.8878025,0.8795036,0.8647861,0.85552263,0.8410687,0.823678,0.7831905,0.73800826,0.6857545,0.6135071,0.5478158,0.025817707
0.9624311,0.9529371,0.9481917,0.9419698,0.93567395,0.92678237,0.9121944,0.90855783,0.8836935,0.875164,0.8611367,0.84073156,0.8282627,0.8151361,0.79212433,0.73273957,0.6599382,0.5986851,0.51458305,0.09234802
0.96510345,0.9513049,0.9440595,0.9419839,0.93258137,0.925051,0.91310585,0.9040395,0.90036565,0.8742339,0.8569331,0.84567237,0.82405716,0.8173974,0.7955263,0.75525725,0.67931205,0.6215977,0.52886176,0.052337453
0.96381277,0.94880855,0.9417417,0.9330564,0.9301097,0.9235024,0.91243243,0.8979047,0.89499074,0.8684642,0.8588378,0.84801066,0.81456405,0.8079993,0.7863588,0.7469202,0.67920864,0.5710773,0.42871583,0.1208642
0.957304,0.9502123,0.93866545,0.9341822,0.9302472,0.9237065,0.90938735,0.905007,0.8878182,0.87002534,0.8598829,0.8350661,0.83262545,0.8039036,0.7889197,0.7199348,0.64068806,0.53794354,0.42080206,0.0014820254
0.9514044,0.95029455,0.9426455,0.9323116,0.9282491,0.92142767,0.91349727,0.90371597,0.8994797,0.86556035,0.8564377,0.8287466,0.82150877,0.78506935,0.7727031,0.68433535,0.63455886,0.5211307,0.40926343,0.0063999943
0.9518745,0.9459792,0.94190425,0.932372,0.9278552,0.92242754,0.90978795,0.8999747,0.893551,0.86664546,0.8604738,0.82668215,0.81777996,0.7819313,0.74371016,0.7285609,0.63637,0.54965645,0.38069445,0.03153746
0.9539962,0.94988173,0.9400913,0.92957956,0.92472124,0.92323536,0.9079123,0.89998823,0.8904601,0.8604828,0.85473335,0.83008915,0.81821424,0.7974574,0.78631604,0.7263186,0.6009838,0.44600427,0.37298483,0.070508674
0.95432866,0.9419951,0.93892914,0.9319346,0.9260246,0.91833633,0.90492547,0.89732,0.8954835,0.85925287,0.8479619,0.83065355,0.8064586,0.79131323,0.7799918,0.6998978,0.6190283,0.40146074,0.3329236,0.20409068
0.95271814,0.94210964,0.94000334,0.9319968,0.92089355,0.91341764,0.9049527,0.8981455,0.8906312,0.8570013,0.85049045,0.8407342,0.8048038,0.7961048,0.7886048,0.69071823,0.6038844,0.44805825,0.29751882,0.13679321
0.95498437,0.9406179,0.9391482,0.9306722,0.9271595,0.9076075,0.9042613,0.8983572,0.8813599,0.8580771,0.84653854,0.82616454,0.7975527,0.7842156,0.71986043,0.65511054,0.5842464,0.48061943,0.36769265,0.16670291
