0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
0.29842114,0.5101055,0.5917036,0.61878645,0.6782153,0.71139395,0.7362658,0.75181353,0.7660718,0.7766216,0.78754085,0.7959398,0.8041121,0.80950195,0.8154114,0.820938,0.8256859,0.83051115,0.83469915,0.83825916
0.30963162,0.4816833,0.599126,0.6272417,0.6533599,0.6841301,0.7040276,0.7253738,0.73908585,0.74905354,0.7620814,0.76966316,0.7799252,0.7877993,0.7960718,0.8017652,0.8072328,0.8118084,0.8193525,0.8232745
0.18934275,0.38449606,0.50320935,0.53577876,0.5730353,0.5931545,0.6232714,0.64259136,0.65853417,0.6795182,0.69142675,0.7030828,0.71525854,0.7240089,0.7331185,0.7392278,0.74479985,0.74990547,0.75652677,0.7622859
0.20706281,0.35675627,0.45558003,0.5096774,0.5431245,0.5678314,0.5895544,0.60719025,0.62328136,0.63769215,0.65332973,0.6672051,0.67571175,0.68497264,0.6934988,0.7001443,0.70667773,0.7117613,0.7182017,0.7234757
0.17371756,0.34127507,0.42810887,0.47979623,0.51433295,0.5384279,0.5568944,0.57436585,0.5950216,0.6088765,0.62126976,0.6302277,0.63827646,0.6507456,0.65979934,0.67030936,0.67573655,0.6816711,0.68795633,0.6935358
0.17697906,0.32742503,0.40600148,0.4535601,0.49820942,0.5195837,0.54011685,0.55825955,0.5748017,0.58814657,0.5993258,0.6097,0.6194626,0.62668383,0.6336021,0.6431905,0.65262234,0.65929455,0.6647146,0.66894615
0.18917009,0.3210022,0.38232088,0.42406818,0.4592929,0.4820422,0.5020399,0.5243676,0.5392004,0.5500387,0.5621888,0.5716633,0.58141625,0.59146386,0.6007069,0.60727113,0.6167536,0.62349886,0.62975454,0.63526136
0.15166758,0.27390656,0.34627497,0.4047933,0.4285712,0.45070967,0.4728687,0.4888951,0.50618136,0.51909184,0.52948743,0.5413896,0.5493426,0.55865616,0.5705117,0.5785795,0.58663315,0.5946183,0.60150373,0.6072898
0.118971385,0.24749139,0.31279638,0.36507735,0.38889042,0.41103473,0.4324924,0.4505797,0.47078982,0.4841894,0.49523494,0.505718,0.51495236,0.52419466,0.5315175,0.5406644,0.5491335,0.55661464,0.5630304,0.5701495
0.12977508,0.2410409,0.29941648,0.35085705,0.37354457,0.39356416,0.41368705,0.4316191,0.44542417,0.460843,0.47312674,0.4840889,0.49362868,0.50430393,0.5146385,0.5233787,0.53148043,0.53901905,0.54408514,0.55002433
0.11239428,0.20527597,0.28527263,0.33734518,0.36152595,0.3800719,0.3982446,0.42155108,0.43536165,0.44686878,0.45839185,0.47200423,0.48084828,0.48939118,0.4990026,0.50864404,0.51571774,0.52313644,0.5300091,0.5366606
0.11212871,0.20785955,0.27409884,0.31777504,0.34561616,0.36227217,0.37996763,0.3996387,0.41404137,0.42520317,0.43892935,0.44924745,0.45967966,0.46849877,0.47690597,0.48633364,0.49431333,0.5004006,0.50614434,0.51275533
0.14642456,0.23187265,0.2914998,0.33863443,0.36136574,0.38308644,0.400169,0.41566116,0.4272295,0.44052657,0.45195773,0.46269983,0.47157136,0.48047134,0.487765,0.49447656,0.5013212,0.5061894,0.5127087,0.51859283
0.15273769,0.23594841,0.2887487,0.33589393,0.36261818,0.3821095,0.39792755,0.4128979,0.42805246,0.44119763,0.453227,0.46270603,0.47214887,0.48083773,0.48904836,0.4963947,0.5028009,0.50878364,0.5139144,0.51904696
0.16059946,0.25575706,0.3119669,0.3616208,0.3925598,0.4160273,0.4329351,0.45148015,0.46640253,0.47790155,0.48983777,0.5023582,0.5115264,0.52423257,0.53259456,0.53887004,0.54583853,0.55333185,0.55877566,0.5661315
0.1668646,0.24975093,0.29690936,0.34347832,0.37286595,0.3954733,0.42054564,0.4390516,0.4533386,0.4672388,0.48064482,0.49259177,0.5057715,0.5159464,0.5253188,0.53311217,0.53943515,0.5464655,0.55261403,0.5585545
0.1671376,0.23820266,0.28706688,0.332042,0.3614106,0.38397416,0.40585673,0.42406484,0.43792796,0.45164138,0.46606702,0.47767168,0.48910347,0.49886099,0.5069908,0.5164181,0.52473,0.5320605,0.538823,0.545564
0.14919583,0.18730688,0.2398956,0.276586,0.30601808,0.33307898,0.35599753,0.3758135,0.39364937,0.40658596,0.4217293,0.43379143,0.44684574,0.45801666,0.46754843,0.47738934,0.48486513,0.4945835,0.50190425,0.5096213
0.14094676,0.17107147,0.22472726,0.26017606,0.2921278,0.31827992,0.3398204,0.3589313,0.37785968,0.38949168,0.402555,0.4161904,0.4292203,0.44050843,0.44921458,0.45891193,0.46691853,0.4744974,0.48144096,0.48889598
0.14174986,0.16865382,0.22449778,0.25996724,0.2884657,0.3142438,0.33354017,0.35226944,0.36589196,0.37799227,0.39080945,0.40409636,0.41595963,0.42606393,0.4354541,0.44342083,0.45197153,0.4594086,0.46671692,0.4732674
0.13272792,0.15900396,0.21374354,0.24183531,0.27279016,0.29782027,0.31240883,0.32922083,0.34490308,0.35861427,0.37377745,0.38635448,0.39590213,0.40645564,0.41770262,0.4257554,0.4345792,0.44303012,0.4509494,0.45719966
0.12727809,0.15679908,0.20336786,0.22901946,0.25594413,0.27310374,0.29110882,0.31249547,0.3280748,0.34188715,0.3560545,0.36928415,0.3796339,0.38912764,0.39853406,0.4086085,0.41756135,0.42612645,0.4344388,0.44243163
0.103490785,0.15225153,0.1963546,0.22460818,0.25232634,0.27490294,0.29311162,0.3117501,0.33300936,0.35055006,0.3629608,0.37544438,0.38578206,0.3955135,0.40521654,0.41398937,0.42326957,0.43105116,0.438784,0.44623402
0.050408643,0.15124217,0.19620624,0.22207241,0.25108257,0.27139446,0.29533347,0.3122844,0.32898104,0.34824732,0.36005586,0.371818,0.38184205,0.39093056,0.40085882,0.41002432,0.4190629,0.42785966,0.43509445,0.44358993
0.041355357,0.14734425,0.20321348,0.23199081,0.26050836,0.28471026,0.29804468,0.31679207,0.3309683,0.34893924,0.36420026,0.3765945,0.38667846,0.39580294,0.40483353,0.41442716,0.42360878,0.43240887,0.44069782,0.44858935
0.0444339,0.14155269,0.19963089,0.23263243,0.26189965,0.28463864,0.3037159,0.3186469,0.33580923,0.35390404,0.36723942,0.38379112,0.3951941,0.40470377,0.41473082,0.42395136,0.43199635,0.4396686,0.44636172,0.4556909
0.044448573,0.13988887,0.20107542,0.23354022,0.26532274,0.28849927,0.30875435,0.32443395,0.34028906,0.35794577,0.37550095,0.3895073,0.40268987,0.41373625,0.42477202,0.4339456,0.44147298,0.4493797,0.4574219,0.46390742
0.049894184,0.13753293,0.20379822,0.23694232,0.2666623,0.29318333,0.31727493,0.33078602,0.34857342,0.36996144,0.38626853,0.39992148,0.41234934,0.42201373,0.43229997,0.44269595,0.45356497,0.46039367,0.46883422,0.47566035
0.05335697,0.13569883,0.20233494,0.2371261,0.2661179,0.29043782,0.31483302,0.3314877,0.3532123,0.37050793,0.38709372,0.3992998,0.41298202,0.42399657,0.43414468,0.44470024,0.45776352,0.46476805,0.4716747,0.47950867
0.05514212,0.13095932,0.19018254,0.22526331,0.26125923,0.28804362,0.3119599,0.33383945,0.3474126,0.36604092,0.37851578,0.3940166,0.4077347,0.4175249,0.42870966,0.43772212,0.44962773,0.45721424,0.46600875,0.474161
0.049516182,0.12368686,0.18371603,0.22006863,0.24888797,0.2805003,0.30414906,0.32318792,0.33840424,0.3552063,0.3680697,0.3824801,0.39604115,0.4056663,0.4178858,0.4266113,0.44015554,0.44778982,0.45551005,0.46325418
0.0474598,0.11885998,0.19275531,0.2291271,0.25751433,0.2877527,0.3095744,0.32583833,0.34521562,0.35985574,0.3733441,0.38704094,0.40028778,0.40964246,0.42068455,0.42911106,0.4412365,0.4522005,0.45881683,0.4676012
0.046768803,0.11919904,0.19088984,0.22571078,0.25133458,0.28114444,0.304809,0.3196905,0.33791313,0.35338438,0.36633646,0.37987176,0.39252383,0.40218097,0.41351604,0.42208812,0.43279058,0.44339028,0.45138752,0.45766544
0.04425689,0.120169625,0.18155932,0.21586318,0.24271455,0.27377027,0.2980682,0.31248677,0.3311733,0.34529415,0.3582991,0.37163335,0.38416052,0.3937472,0.4063048,0.41463783,0.42486894,0.43214387,0.44244367,0.44864693
0.045091745,0.124538474,0.18599813,0.22153264,0.24678755,0.2749729,0.2996794,0.3134653,0.33027512,0.34469888,0.35781464,0.3709281,0.38315088,0.392765,0.40613407,0.41700324,0.42481986,0.43126088,0.4415602,0.44865587
0.04387128,0.12428271,0.18416317,0.21905236,0.24531284,0.2724288,0.29665947,0.3100161,0.32571498,0.34118733,0.3542104,0.36713225,0.37924194,0.38968173,0.4016571,0.41010994,0.41970983,0.42632917,0.4370021,0.44373074
0.04281564,0.12278626,0.18181913,0.21753351,0.24374107,0.271707,0.2958375,0.309577,0.32267916,0.3394977,0.35177034,0.363741,0.3759146,0.38737723,0.3991432,0.40671366,0.4162788,0.42358166,0.43347546,0.44074345
0.043382958,0.12876286,0.18601008,0.22335418,0.24967782,0.27430505,0.29724655,0.31009513,0.3235688,0.3397663,0.35190323,0.36375204,0.3757576,0.38636383,0.39741725,0.40480214,0.41397747,0.42070475,0.42933473,0.43632358
0.043324325,0.12687322,0.18334273,0.22122194,0.24590161,0.26932698,0.28985924,0.3018481,0.3166761,0.3335314,0.3461856,0.359715,0.37011608,0.38119897,0.39293355,0.40027732,0.4095083,0.41623446,0.42414168,0.4321315
0.042036436,0.12306785,0.18133183,0.22001867,0.2461146,0.26669982,0.2884231,0.30152607,0.31571802,0.33251426,0.34505346,0.35878462,0.36909178,0.3807788,0.39230862,0.3999402,0.4089303,0.41552243,0.4227226,0.43123618
