0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
0.17929184,0.28867647,0.33398384,0.37240782,0.4099727,0.42774552,0.43684798,0.44633198,0.45621517,0.46403375,0.47737694,0.48567292,0.4926295,0.49813253,0.5100359,0.51456904,0.5177408,0.53269345,0.53803676,0.5425746
0.13187754,0.2338409,0.26953408,0.29774353,0.3300243,0.3485649,0.36283988,0.37404883,0.3837705,0.39499933,0.4014226,0.40780658,0.4133446,0.41836697,0.42447922,0.42934296,0.4344455,0.43720356,0.4419936,0.44523484
0.14369987,0.22910805,0.25450167,0.2778729,0.2898071,0.30840403,0.32073396,0.33136463,0.34477186,0.351941,0.35974514,0.3655789,0.3711864,0.3762569,0.38022843,0.38407433,0.38942176,0.39287114,0.39704585,0.402732
0.20462862,0.27919862,0.2924128,0.31270233,0.33554503,0.35599706,0.36411142,0.3808297,0.3914872,0.39773118,0.4086853,0.41686255,0.42591164,0.4328089,0.44119838,0.44683495,0.45167089,0.4557637,0.4616412,0.4670744
0.17144415,0.30401424,0.31754497,0.33704233,0.35662195,0.37174395,0.37778926,0.38786674,0.396433,0.40630674,0.414874,0.41893595,0.4248734,0.42967752,0.43422025,0.44315237,0.4494218,0.4538036,0.45780966,0.462158
0.15458943,0.2972371,0.32330465,0.33930048,0.35547662,0.36969966,0.38414845,0.3914146,0.40353644,0.41281542,0.41789815,0.42665866,0.43339688,0.44167548,0.44639766,0.4521239,0.45630193,0.46065536,0.46683928,0.4712324
0.20142637,0.4115042,0.4324925,0.45061243,0.47277832,0.48665437,0.4981923,0.5047837,0.5137785,0.5205483,0.5284918,0.53386563,0.53816605,0.54333574,0.54739255,0.5524447,0.5569592,0.56179476,0.56405467,0.5666997
0.17545703,0.35816762,0.37918377,0.39840493,0.4215329,0.43668973,0.4464821,0.45563862,0.464138,0.47356918,0.4787083,0.486175,0.49065167,0.4944736,0.501527,0.50541955,0.5091997,0.51278794,0.51721454,0.5196703
0.1673334,0.37125042,0.39379165,0.41401786,0.42969555,0.44269666,0.45241228,0.46125957,0.46757278,0.4734562,0.47845665,0.48325145,0.4895655,0.49529943,0.49974632,0.5027871,0.50562847,0.5082311,0.5122947,0.51516473
