0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.99133945,0.98851186,0.98606896,0.9846638,0.98196995,0.97155,0.9664053,0.9528632,0.9419003,0.9293052,0.8906673,0.81484634,0.7820584,0.7425775,0.7026361,0.62068856,0.5260824,0.43693054,0.3560545,0.33394977,0.26950908,0.19648898,0.13176534,0.07071352,0.03957807
0.9849054,0.9792715,0.9737809,0.9648813,0.95902157,0.95276,0.9262736,0.9219275,0.90666777,0.82843727,0.79569817,0.7392299,0.67367846,0.5602746,0.5024257,0.45434248,0.3604475,0.33022022,0.27116045,0.21877429,0.19058043,0.15798153,0.09455014,0.06294679,0.01644102
0.9732119,0.9628247,0.9603946,0.94868076,0.9370608,0.9174341,0.89390004,0.88412434,0.8648783,0.819856,0.76114154,0.6727976,0.54419416,0.49362043,0.44081792,0.40183884,0.3202853,0.2959019,0.21672745,0.1984552,0.18196319,0.11694295,0.07274396,0.04523237,0.008155954
0.9431013,0.9366977,0.9242107,0.9163686,0.9008295,0.8933384,0.87877625,0.8523008,0.83579755,0.81039274,0.78778166,0.77960193,0.7230802,0.6693095,0.6004661,0.47730872,0.4254709,0.38033193,0.2624887,0.25573376,0.18573174,0.15109946,0.080688685,0.055260528,0.0033455289
0.9025993,0.8972451,0.89295995,0.86235595,0.8399865,0.82986003,0.8067856,0.7858035,0.7789939,0.7507291,0.72681147,0.70734644,0.65969896,0.5879607,0.54545236,0.45320842,0.35374278,0.3481441,0.3363702,0.2448596,0.21289171,0.14530757,0.103929654,0.06271586,0.03503939
0.9078035,0.8965374,0.86182374,0.8495089,0.84017336,0.8273711,0.81492156,0.8050461,0.8023616,0.79630923,0.75890434,0.75320435,0.6905504,0.6485285,0.6325363,0.6056014,0.55820227,0.43509912,0.36854947,0.31341237,0.2636919,0.20409599,0.18214832,0.04649032,0.03412438
0.9360033,0.92766684,0.89637786,0.87239575,0.8499875,0.83819544,0.8248982,0.8073847,0.80249274,0.796964,0.7865606,0.76093096,0.716621,0.68187815,0.6212351,0.6115959,0.5861495,0.55451447,0.4672206,0.4093696,0.34658438,0.31852612,0.22573812,0.08796627,0.03298832
0.8975472,0.87508935,0.86335343,0.8502347,0.83389807,0.82304645,0.80027145,0.7928131,0.7853312,0.76258665,0.74807173,0.7301566,0.7042344,0.68745184,0.60536593,0.58608145,0.56488,0.49595928,0.46563956,0.3895448,0.28210628,0.26512215,0.17239629,0.07763094,0.013063346
0.8782337,0.85022193,0.84257346,0.84082663,0.82695293,0.80582666,0.7821093,0.77855843,0.76390743,0.75330865,0.7363404,0.7147869,0.70658916,0.6659972,0.65222114,0.63186014,0.58210874,0.47296023,0.4514943,0.3578631,0.30293065,0.22446287,0.1128301,0.08915657,0.048241016
